item_id,property
194a0906-3ac5-59cd-877b-5dd609840d8e,LIGHT
6cd93b4e-f374-5e18-9f9c-64214d1ab52a,FINESSE
6cd93b4e-f374-5e18-9f9c-64214d1ab52a,LIGHT
6cd93b4e-f374-5e18-9f9c-64214d1ab52a,THROWN
e9c509af-c798-5af6-8a88-4f28e77de06f,TWO_HANDED
8e99f5d3-6a8c-5ad0-90e2-02f226700b55,LIGHT
8e99f5d3-6a8c-5ad0-90e2-02f226700b55,THROWN
ecdbadc2-fdab-5f94-8b87-6af5f9bb6683,THROWN
c5f0d130-dac1-5b69-8121-5aeea592fdbf,LIGHT
c5f0d130-dac1-5b69-8121-5aeea592fdbf,THROWN
6b57b751-aa30-5683-acfd-99a14a8c3982,VERSATILE
41a8ff95-1707-56ef-b60c-136353fb09e6,LIGHT
e5dc7685-1101-5f7d-93ec-fe54305bbf27,THROWN
e5dc7685-1101-5f7d-93ec-fe54305bbf27,VERSATILE
27fdc56c-4486-5bde-b9d5-62e4c6d9271d,FINESSE
27fdc56c-4486-5bde-b9d5-62e4c6d9271d,THROWN
a12fc33c-1130-5ac9-820b-90b2ac1dcd9e,AMMUNITION
a12fc33c-1130-5ac9-820b-90b2ac1dcd9e,LOADING
a12fc33c-1130-5ac9-820b-90b2ac1dcd9e,RANGE
a12fc33c-1130-5ac9-820b-90b2ac1dcd9e,TWO_HANDED
4dd506f2-3279-547d-ac5f-a6e959049f41,AMMUNITION
4dd506f2-3279-547d-ac5f-a6e959049f41,RANGE
4dd506f2-3279-547d-ac5f-a6e959049f41,TWO_HANDED
f8087ed2-34a8-5c5c-86f0-5822efa783d5,AMMUNITION
f8087ed2-34a8-5c5c-86f0-5822efa783d5,RANGE
207463e9-c9a9-53ef-9319-949b46a0dc4b,VERSATILE
be8123f0-e90e-50a2-ac6b-8921e66fac5c,HEAVY
be8123f0-e90e-50a2-ac6b-8921e66fac5c,REACH
be8123f0-e90e-50a2-ac6b-8921e66fac5c,TWO_HANDED
b6810b43-2ed6-521d-a2ad-5a9c33684fc2,HEAVY
b6810b43-2ed6-521d-a2ad-5a9c33684fc2,TWO_HANDED
b5c05f13-24d2-54a5-af83-8aca0f8a6c06,HEAVY
b5c05f13-24d2-54a5-af83-8aca0f8a6c06,TWO_HANDED
9f68602e-a9a6-5612-a85c-3bf6d2a65c62,HEAVY
9f68602e-a9a6-5612-a85c-3bf6d2a65c62,REACH
9f68602e-a9a6-5612-a85c-3bf6d2a65c62,TWO_HANDED
a4843515-c3c9-5a3c-ac4e-3a971a747dcc,HEAVY
a4843515-c3c9-5a3c-ac4e-3a971a747dcc,REACH
a4843515-c3c9-5a3c-ac4e-3a971a747dcc,TWO_HANDED
a0f59cfe-f110-5e2a-a029-416d89e13544,VERSATILE
100e2646-cba2-5c4e-b32f-bdda2d76e216,HEAVY
100e2646-cba2-5c4e-b32f-bdda2d76e216,TWO_HANDED
6186aa49-c69e-5775-abbb-2163803fab04,HEAVY
6186aa49-c69e-5775-abbb-2163803fab04,REACH
6186aa49-c69e-5775-abbb-2163803fab04,TWO_HANDED
92ef8e60-7c43-5048-b972-aefbe8108359,FINESSE
d8f3c826-aa8a-5ee2-bff5-f3451582c3ea,FINESSE
d8f3c826-aa8a-5ee2-bff5-f3451582c3ea,LIGHT
1f2b5e74-a5ab-5ba0-8832-862e01e69fee,FINESSE
1f2b5e74-a5ab-5ba0-8832-862e01e69fee,LIGHT
90ae4214-ae62-5f74-a086-f2e4460f670e,THROWN
90ae4214-ae62-5f74-a086-f2e4460f670e,VERSATILE
9df9d0a4-422d-585a-9e7c-6d2adfcc2e2e,VERSATILE
7fcd25e8-d4db-5fe2-84c3-ba56b3df7fe8,VERSATILE
75fda211-b7b0-5555-b223-9ec94c998b2d,FINESSE
75fda211-b7b0-5555-b223-9ec94c998b2d,REACH
396a94d4-6fec-59dc-8d8f-c0b4652e45ab,AMMUNITION
396a94d4-6fec-59dc-8d8f-c0b4652e45ab,LOADING
396a94d4-6fec-59dc-8d8f-c0b4652e45ab,RANGE
d751460b-5c9b-5614-a830-86ab32b1f6f1,AMMUNITION
d751460b-5c9b-5614-a830-86ab32b1f6f1,LIGHT
d751460b-5c9b-5614-a830-86ab32b1f6f1,LOADING
d751460b-5c9b-5614-a830-86ab32b1f6f1,RANGE
b6e7bae6-9421-584b-bb9a-a0bf3f1b4ece,AMMUNITION
b6e7bae6-9421-584b-bb9a-a0bf3f1b4ece,HEAVY
b6e7bae6-9421-584b-bb9a-a0bf3f1b4ece,LOADING
b6e7bae6-9421-584b-bb9a-a0bf3f1b4ece,RANGE
b6e7bae6-9421-584b-bb9a-a0bf3f1b4ece,TWO_HANDED
12528311-107f-58bf-b8d1-8055dfa9c034,AMMUNITION
12528311-107f-58bf-b8d1-8055dfa9c034,HEAVY
12528311-107f-58bf-b8d1-8055dfa9c034,RANGE
12528311-107f-58bf-b8d1-8055dfa9c034,TWO_HANDED
99391c75-3d86-5339-8be6-512c60aacb5a,AMMUNITION
99391c75-3d86-5339-8be6-512c60aacb5a,LOADING
99391c75-3d86-5339-8be6-512c60aacb5a,RANGE
99391c75-3d86-5339-8be6-512c60aacb5a,TWO_HANDED
5f8bd190-3248-5a47-975b-e6854bdf60f5,AMMUNITION
5f8bd190-3248-5a47-975b-e6854bdf60f5,LOADING
5f8bd190-3248-5a47-975b-e6854bdf60f5,RANGE
