spell_name,vocation_id
Dancing Lights,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Light,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Mage Hand,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Mending,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Message,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Minor Illusion,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Prestidigitation,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Starry Wisp,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
True Strike,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Vicious Mockery,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Animal Friendship,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Bane,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Charm Person,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Color Spray,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Command,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Comprehend Languages,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Cure Wounds,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Detect Magic,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Disguise Self,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Dissonant Whispers,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Faerie Fire,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Feather Fall,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Healing Word,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Heroism,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Hideous Laughter,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Identify,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Illusory Script,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Longstrider,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Silent Image,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Sleep,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Speak with Animals,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Thunderwave,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Unseen Servant,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
Aid,3dbe561c-5bcb-5d63-9d45-b138153ed9d7
