vocation_id,armor_category
9f6a6acf-2d56-5990-9e11-65ad14cc0724,LIGHT
9f6a6acf-2d56-5990-9e11-65ad14cc0724,MEDIUM
9f6a6acf-2d56-5990-9e11-65ad14cc0724,SHIELD
3dbe561c-5bcb-5d63-9d45-b138153ed9d7,LIGHT
5a766548-3c4f-5273-89ee-11a90d1e7ce1,LIGHT
5a766548-3c4f-5273-89ee-11a90d1e7ce1,MEDIUM
5a766548-3c4f-5273-89ee-11a90d1e7ce1,SHIELD
d328bebd-d404-53ab-a8e1-30020cfac6e6,LIGHT
d328bebd-d404-53ab-a8e1-30020cfac6e6,SHIELD
b3a53882-ce37-5c3f-b5eb-8498bf6fe14a,HEAVY
b3a53882-ce37-5c3f-b5eb-8498bf6fe14a,LIGHT
b3a53882-ce37-5c3f-b5eb-8498bf6fe14a,MEDIUM
b3a53882-ce37-5c3f-b5eb-8498bf6fe14a,SHIELD
eeb719a0-134e-5484-837c-c2ca360facaf,HEAVY
eeb719a0-134e-5484-837c-c2ca360facaf,LIGHT
eeb719a0-134e-5484-837c-c2ca360facaf,MEDIUM
eeb719a0-134e-5484-837c-c2ca360facaf,SHIELD
bfb29762-cbb4-532e-a82f-54808c7e209d,LIGHT
bfb29762-cbb4-532e-a82f-54808c7e209d,MEDIUM
bfb29762-cbb4-532e-a82f-54808c7e209d,SHIELD
12b7133c-16a4-5974-93f6-f5a3b65bd670,LIGHT
d5dabf61-a3cb-5dde-a75e-9667de1e6294,LIGHT
