id,created_at,updated_at,version,name,description,ordinal,vocation_id,subclass_id,vocation_level,activation,uses_reset
6c98ece7-33c7-56d4-8167-973bfe60d1f5,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Rage,"You can imbue yourself with a primal power called Rage, a force that grants you extraordinary might and resilience. You can enter it as a Bonus Action if you aren't wearing Heavy armor.

You can enter your Rage the number of times shown for your Barbarian level in the Rages column of the Barbarian Features table. You regain one expended use when you finish a Short Rest, and you regain all expended uses when you finish a Long Rest.

Rage  Weapon
Rages  Damage  Mastery
2  +2  2
2  +2  2
3  +2  2
3  +2  3
3  +2  3
4  +2  3
4  +2  3
4  +2  3
4  +3  3
4  +3  4
4  +3  4
5  +3  4
5  +3  4
5  +3  4
5  +3  4
5  +4  4
6  +4  4
6  +4  4
6  +4  4
6  +4  4

While active, your Rage follows the rules below.

Damage Resistance. You have Resistance to Bludgeoning, Piercing, and Slashing damage.

Rage Damage. When you make an attack using Strength—with either a weapon or an Unarmed Strike—and deal damage to the target, you gain a bonus to the damage that increases as you gain levels as a Barbarian, as shown in the Rage Damage column of the Barbarian Features table.

Strength Advantage. You have Advantage on Strength checks and Strength saving throws.

No Concentration or Spells. You can't maintain Concentration, and you can't cast spells.

Duration. The Rage lasts until the end of your next turn, and it ends early if you don Heavy armor or have the Incapacitated condition. If your Rage is still active on your next turn, you can extend the Rage for another round by doing one of the following: •  Make an attack roll against an enemy. •  Force an enemy to make a saving throw. •  Take a Bonus Action to extend your Rage. Each time the Rage is extended, it lasts until the end of your next turn. You can maintain a Rage for up to 10 minutes.",0,9f6a6acf-2d56-5990-9e11-65ad14cc0724,NULL,1,PASSIVE,AT_WILL
378303fa-bb49-5383-bdc8-a297b9c96cb1,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Unarmored Defense,"While you aren't wearing any armor, your base Armor Class equals 10 plus your Dexterity and Constitution modifiers. You can use a Shield and still gain this benefit.",1,9f6a6acf-2d56-5990-9e11-65ad14cc0724,NULL,1,PASSIVE,AT_WILL
6fc320bd-605a-5e1d-b36d-78183dbc71bb,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Weapon Mastery,"Your training with weapons allows you to use the mastery properties of two kinds of Simple or Martial Melee weapons of your choice, such as Greataxes and Handaxes. Whenever you finish a Long Rest, you can practice weapon drills and change one of those weapon choices.

When you reach certain Barbarian levels, you gain the ability to use the mastery properties of more kinds of weapons, as shown in the Weapon Mastery column of the Barbarian Features table.",2,9f6a6acf-2d56-5990-9e11-65ad14cc0724,NULL,1,PASSIVE,AT_WILL
e4faf70b-e8d3-56e1-831e-4f7541e1c5b6,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Danger Sense,"You gain an uncanny sense of when things aren't as they should be, giving you an edge when you dodge perils. You have Advantage on Dexterity saving throws unless you have the Incapacitated condition.",3,9f6a6acf-2d56-5990-9e11-65ad14cc0724,NULL,2,PASSIVE,AT_WILL
e9025f4b-9f40-55d2-ab73-67ce87e703d7,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Reckless Attack,"You can throw aside all concern for defense to attack with increased ferocity. When you make your first attack roll on your turn, you can decide to attack recklessly. Doing so gives you Advantage on attack rolls using Strength until the start of your next turn, but attack rolls against you have Advantage during that time.",4,9f6a6acf-2d56-5990-9e11-65ad14cc0724,NULL,2,PASSIVE,AT_WILL
5310edcc-b663-5a07-b8ae-76f6ce4144bb,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Barbarian Subclass,"You gain a Barbarian subclass of your choice. The Path of the Berserker subclass is detailed after this class's description. A subclass is a specialization that grants you features at certain Barbarian levels. For the rest of your career, you gain each of your subclass's features that are of your Barbarian level or lower.",5,9f6a6acf-2d56-5990-9e11-65ad14cc0724,NULL,3,PASSIVE,AT_WILL
09de8107-f0fb-5844-b28f-df2b4e1202fc,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Primal Knowledge,"You gain proficiency in another skill of your choice from the skill list available to Barbarians at level 1.

In addition, while your Rage is active, you can channel primal power when you attempt certain tasks; whenever you make an ability check using one of the following skills, you can make it as a Strength check even if it normally uses a different ability: Acrobatics, Intimidation, Perception, Stealth, or Survival. When you use this ability, your Strength represents primal power coursing through you, honing your agility, bearing, and senses.",6,9f6a6acf-2d56-5990-9e11-65ad14cc0724,NULL,3,PASSIVE,AT_WILL
16df121e-3508-540f-bcdd-4f238f42d7d3,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Ability Score Improvement,"You gain the Ability Score Improvement feat (see ""Feats"") or another feat of your choice for which you qualify. You gain this feature again at Barbarian levels 8, 12, and 16.",7,9f6a6acf-2d56-5990-9e11-65ad14cc0724,NULL,4,PASSIVE,AT_WILL
e5fac9c4-4ad2-5735-aaf8-2bad0fc42d91,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Extra Attack,You can attack twice instead of once whenever you take the Attack action on your turn.,8,9f6a6acf-2d56-5990-9e11-65ad14cc0724,NULL,5,PASSIVE,AT_WILL
011bfff1-6483-53ba-9f0b-8c3789dcd31c,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Fast Movement,Your speed increases by 10 feet while you aren't wearing Heavy armor.,9,9f6a6acf-2d56-5990-9e11-65ad14cc0724,NULL,5,PASSIVE,AT_WILL
