vocation_level_id,slot_level,slots
eb39c678-1da1-5e8c-a2aa-c4da3b5e1843,1,2
a0bedbb9-077d-56db-8826-0029319d5aae,1,3
6571c017-16f6-591d-ab3d-5d56f9447ccc,1,4
6571c017-16f6-591d-ab3d-5d56f9447ccc,2,2
3ab7fb39-f884-5355-8e88-34994e0c7a26,1,4
3ab7fb39-f884-5355-8e88-34994e0c7a26,2,3
9901b34e-d17c-5997-bf0c-fedab7532411,1,4
9901b34e-d17c-5997-bf0c-fedab7532411,2,3
9901b34e-d17c-5997-bf0c-fedab7532411,3,2
cb6ee7eb-1757-5803-88ff-25497e6d9dcf,1,4
cb6ee7eb-1757-5803-88ff-25497e6d9dcf,2,3
cb6ee7eb-1757-5803-88ff-25497e6d9dcf,3,3
56a3aa32-e1c9-58ec-ad58-cde5944d1d5c,1,4
56a3aa32-e1c9-58ec-ad58-cde5944d1d5c,2,3
56a3aa32-e1c9-58ec-ad58-cde5944d1d5c,3,3
56a3aa32-e1c9-58ec-ad58-cde5944d1d5c,4,1
f635f5df-0d67-52dd-bc29-480a65375b87,1,4
f635f5df-0d67-52dd-bc29-480a65375b87,2,3
f635f5df-0d67-52dd-bc29-480a65375b87,3,3
f635f5df-0d67-52dd-bc29-480a65375b87,4,2
c2e1bdb4-863b-5379-a36e-e55f2e355f7b,1,4
c2e1bdb4-863b-5379-a36e-e55f2e355f7b,2,3
c2e1bdb4-863b-5379-a36e-e55f2e355f7b,3,3
c2e1bdb4-863b-5379-a36e-e55f2e355f7b,4,3
c2e1bdb4-863b-5379-a36e-e55f2e355f7b,5,1
703f9b13-582c-5f50-907f-d2121456c818,1,4
703f9b13-582c-5f50-907f-d2121456c818,2,3
703f9b13-582c-5f50-907f-d2121456c818,3,3
703f9b13-582c-5f50-907f-d2121456c818,4,3
703f9b13-582c-5f50-907f-d2121456c818,5,2
52381576-54f3-5c95-bfe6-dd94a1e92b7c,1,4
52381576-54f3-5c95-bfe6-dd94a1e92b7c,2,3
52381576-54f3-5c95-bfe6-dd94a1e92b7c,3,3
52381576-54f3-5c95-bfe6-dd94a1e92b7c,4,3
52381576-54f3-5c95-bfe6-dd94a1e92b7c,5,2
52381576-54f3-5c95-bfe6-dd94a1e92b7c,6,1
cfa61772-6a64-54ac-85e0-dbcb27b6a6ef,1,4
cfa61772-6a64-54ac-85e0-dbcb27b6a6ef,2,3
cfa61772-6a64-54ac-85e0-dbcb27b6a6ef,3,3
cfa61772-6a64-54ac-85e0-dbcb27b6a6ef,4,3
cfa61772-6a64-54ac-85e0-dbcb27b6a6ef,5,2
cfa61772-6a64-54ac-85e0-dbcb27b6a6ef,6,1
bc4f2575-b592-552c-b0eb-0e65174788ca,1,4
bc4f2575-b592-552c-b0eb-0e65174788ca,2,3
bc4f2575-b592-552c-b0eb-0e65174788ca,3,3
bc4f2575-b592-552c-b0eb-0e65174788ca,4,3
bc4f2575-b592-552c-b0eb-0e65174788ca,5,2
bc4f2575-b592-552c-b0eb-0e65174788ca,6,1
bc4f2575-b592-552c-b0eb-0e65174788ca,7,1
bc72b009-b21d-5498-ae61-d20c67900b5e,1,4
bc72b009-b21d-5498-ae61-d20c67900b5e,2,3
bc72b009-b21d-5498-ae61-d20c67900b5e,3,3
bc72b009-b21d-5498-ae61-d20c67900b5e,4,3
bc72b009-b21d-5498-ae61-d20c67900b5e,5,2
bc72b009-b21d-5498-ae61-d20c67900b5e,6,1
bc72b009-b21d-5498-ae61-d20c67900b5e,7,1
5b97f45d-8d2f-5163-aae3-06426d21139f,1,4
5b97f45d-8d2f-5163-aae3-06426d21139f,2,3
5b97f45d-8d2f-5163-aae3-06426d21139f,3,3
5b97f45d-8d2f-5163-aae3-06426d21139f,4,3
5b97f45d-8d2f-5163-aae3-06426d21139f,5,2
5b97f45d-8d2f-5163-aae3-06426d21139f,6,1
5b97f45d-8d2f-5163-aae3-06426d21139f,7,1
5b97f45d-8d2f-5163-aae3-06426d21139f,8,1
0861faeb-71e5-5801-8f60-c58b2dab6cac,1,4
0861faeb-71e5-5801-8f60-c58b2dab6cac,2,3
0861faeb-71e5-5801-8f60-c58b2dab6cac,3,3
0861faeb-71e5-5801-8f60-c58b2dab6cac,4,3
0861faeb-71e5-5801-8f60-c58b2dab6cac,5,2
0861faeb-71e5-5801-8f60-c58b2dab6cac,6,1
0861faeb-71e5-5801-8f60-c58b2dab6cac,7,1
0861faeb-71e5-5801-8f60-c58b2dab6cac,8,1
25c6189d-c2e6-501a-9fb1-fc1724905e3f,1,4
25c6189d-c2e6-501a-9fb1-fc1724905e3f,2,3
25c6189d-c2e6-501a-9fb1-fc1724905e3f,3,3
25c6189d-c2e6-501a-9fb1-fc1724905e3f,4,3
25c6189d-c2e6-501a-9fb1-fc1724905e3f,5,2
25c6189d-c2e6-501a-9fb1-fc1724905e3f,6,1
25c6189d-c2e6-501a-9fb1-fc1724905e3f,7,1
25c6189d-c2e6-501a-9fb1-fc1724905e3f,8,1
25c6189d-c2e6-501a-9fb1-fc1724905e3f,9,1
fbb666d2-58f1-563f-98fa-8a9f50550d84,1,4
fbb666d2-58f1-563f-98fa-8a9f50550d84,2,3
fbb666d2-58f1-563f-98fa-8a9f50550d84,3,3
fbb666d2-58f1-563f-98fa-8a9f50550d84,4,3
fbb666d2-58f1-563f-98fa-8a9f50550d84,5,3
fbb666d2-58f1-563f-98fa-8a9f50550d84,6,1
fbb666d2-58f1-563f-98fa-8a9f50550d84,7,1
fbb666d2-58f1-563f-98fa-8a9f50550d84,8,1
fbb666d2-58f1-563f-98fa-8a9f50550d84,9,1
c03dba2c-8001-547d-bf33-dfa5004668d6,1,4
c03dba2c-8001-547d-bf33-dfa5004668d6,2,3
c03dba2c-8001-547d-bf33-dfa5004668d6,3,3
c03dba2c-8001-547d-bf33-dfa5004668d6,4,3
c03dba2c-8001-547d-bf33-dfa5004668d6,5,3
c03dba2c-8001-547d-bf33-dfa5004668d6,6,2
c03dba2c-8001-547d-bf33-dfa5004668d6,7,1
c03dba2c-8001-547d-bf33-dfa5004668d6,8,1
c03dba2c-8001-547d-bf33-dfa5004668d6,9,1
0f9aabab-ad06-5728-9848-b650fdad3211,1,4
0f9aabab-ad06-5728-9848-b650fdad3211,2,3
0f9aabab-ad06-5728-9848-b650fdad3211,3,3
0f9aabab-ad06-5728-9848-b650fdad3211,4,3
0f9aabab-ad06-5728-9848-b650fdad3211,5,3
0f9aabab-ad06-5728-9848-b650fdad3211,6,2
0f9aabab-ad06-5728-9848-b650fdad3211,7,2
0f9aabab-ad06-5728-9848-b650fdad3211,8,1
0f9aabab-ad06-5728-9848-b650fdad3211,9,1
6ed82a13-3abe-51bc-877c-0c1b4ece4dcf,1,2
7aa7e251-4fe3-5cb6-b7f3-deb2399df611,1,3
74dc0bb0-db34-5436-a0ab-818488e79bf7,1,4
74dc0bb0-db34-5436-a0ab-818488e79bf7,2,2
438e2436-0acb-5e1e-9d16-890dbafb9a59,1,4
438e2436-0acb-5e1e-9d16-890dbafb9a59,2,3
75a54f1d-195a-5cf0-a216-28d2631479de,1,4
75a54f1d-195a-5cf0-a216-28d2631479de,2,3
75a54f1d-195a-5cf0-a216-28d2631479de,3,2
aa773698-5e9b-5e23-aaf6-ea18fa5831a4,1,4
aa773698-5e9b-5e23-aaf6-ea18fa5831a4,2,3
aa773698-5e9b-5e23-aaf6-ea18fa5831a4,3,3
59c994eb-fd3b-5dbf-8f38-8cd08d1c35cb,1,4
59c994eb-fd3b-5dbf-8f38-8cd08d1c35cb,2,3
59c994eb-fd3b-5dbf-8f38-8cd08d1c35cb,3,3
59c994eb-fd3b-5dbf-8f38-8cd08d1c35cb,4,1
9536335a-ebe8-567a-adf9-cb1ae2f9da8b,1,4
9536335a-ebe8-567a-adf9-cb1ae2f9da8b,2,3
9536335a-ebe8-567a-adf9-cb1ae2f9da8b,3,3
9536335a-ebe8-567a-adf9-cb1ae2f9da8b,4,2
4d592cb4-c32b-52ae-bb24-bc973b691a1d,1,4
4d592cb4-c32b-52ae-bb24-bc973b691a1d,2,3
4d592cb4-c32b-52ae-bb24-bc973b691a1d,3,3
4d592cb4-c32b-52ae-bb24-bc973b691a1d,4,3
4d592cb4-c32b-52ae-bb24-bc973b691a1d,5,1
057d9593-c218-5482-ac9f-452c301e52bb,1,4
057d9593-c218-5482-ac9f-452c301e52bb,2,3
057d9593-c218-5482-ac9f-452c301e52bb,3,3
057d9593-c218-5482-ac9f-452c301e52bb,4,3
057d9593-c218-5482-ac9f-452c301e52bb,5,2
eeab5684-d859-559a-856f-ca9d526cc197,1,4
eeab5684-d859-559a-856f-ca9d526cc197,2,3
eeab5684-d859-559a-856f-ca9d526cc197,3,3
eeab5684-d859-559a-856f-ca9d526cc197,4,3
eeab5684-d859-559a-856f-ca9d526cc197,5,2
eeab5684-d859-559a-856f-ca9d526cc197,6,1
9ffbbab9-9bd6-5b43-ad32-339545b281a5,1,4
9ffbbab9-9bd6-5b43-ad32-339545b281a5,2,3
9ffbbab9-9bd6-5b43-ad32-339545b281a5,3,3
9ffbbab9-9bd6-5b43-ad32-339545b281a5,4,3
9ffbbab9-9bd6-5b43-ad32-339545b281a5,5,2
9ffbbab9-9bd6-5b43-ad32-339545b281a5,6,1
ee4556d6-34a6-5afd-887a-abcbe8bb40b1,1,4
ee4556d6-34a6-5afd-887a-abcbe8bb40b1,2,3
ee4556d6-34a6-5afd-887a-abcbe8bb40b1,3,3
ee4556d6-34a6-5afd-887a-abcbe8bb40b1,4,3
ee4556d6-34a6-5afd-887a-abcbe8bb40b1,5,2
ee4556d6-34a6-5afd-887a-abcbe8bb40b1,6,1
ee4556d6-34a6-5afd-887a-abcbe8bb40b1,7,1
3c214a13-d53d-5cea-8617-9fe61abfece2,1,4
3c214a13-d53d-5cea-8617-9fe61abfece2,2,3
3c214a13-d53d-5cea-8617-9fe61abfece2,3,3
3c214a13-d53d-5cea-8617-9fe61abfece2,4,3
3c214a13-d53d-5cea-8617-9fe61abfece2,5,2
3c214a13-d53d-5cea-8617-9fe61abfece2,6,1
3c214a13-d53d-5cea-8617-9fe61abfece2,7,1
a4ad2c3e-b21b-5443-b738-51e71502f272,1,4
a4ad2c3e-b21b-5443-b738-51e71502f272,2,3
a4ad2c3e-b21b-5443-b738-51e71502f272,3,3
a4ad2c3e-b21b-5443-b738-51e71502f272,4,3
a4ad2c3e-b21b-5443-b738-51e71502f272,5,2
a4ad2c3e-b21b-5443-b738-51e71502f272,6,1
a4ad2c3e-b21b-5443-b738-51e71502f272,7,1
a4ad2c3e-b21b-5443-b738-51e71502f272,8,1
d43d11eb-9650-5d57-8e8c-016a5e5a5cc0,1,4
d43d11eb-9650-5d57-8e8c-016a5e5a5cc0,2,3
d43d11eb-9650-5d57-8e8c-016a5e5a5cc0,3,3
d43d11eb-9650-5d57-8e8c-016a5e5a5cc0,4,3
d43d11eb-9650-5d57-8e8c-016a5e5a5cc0,5,2
d43d11eb-9650-5d57-8e8c-016a5e5a5cc0,6,1
