vocation_level_id,ordinal,label,value
255c50cd-5ff9-5139-ba03-2079e188b8af,0,Rages,2
255c50cd-5ff9-5139-ba03-2079e188b8af,1,Rage Damage,+2
255c50cd-5ff9-5139-ba03-2079e188b8af,2,Weapon Mastery,2
749d7a4f-5671-5c02-8c3d-9148b79b5611,0,Rages,2
749d7a4f-5671-5c02-8c3d-9148b79b5611,1,Rage Damage,+2
749d7a4f-5671-5c02-8c3d-9148b79b5611,2,Weapon Mastery,2
15ba0ca7-4fec-5643-8cf5-cddd9dfae182,0,Rages,3
15ba0ca7-4fec-5643-8cf5-cddd9dfae182,1,Rage Damage,+2
15ba0ca7-4fec-5643-8cf5-cddd9dfae182,2,Weapon Mastery,2
d4ced9ec-f497-5ba9-aa47-3391e7828062,0,Rages,3
d4ced9ec-f497-5ba9-aa47-3391e7828062,1,Rage Damage,+2
d4ced9ec-f497-5ba9-aa47-3391e7828062,2,Weapon Mastery,3
6e67a021-4a5c-58d1-8d89-948f5d7a30b6,0,Rages,3
6e67a021-4a5c-58d1-8d89-948f5d7a30b6,1,Rage Damage,+2
6e67a021-4a5c-58d1-8d89-948f5d7a30b6,2,Weapon Mastery,3
8eccd689-296e-5080-ad2d-ca273bc481e4,0,Rages,4
8eccd689-296e-5080-ad2d-ca273bc481e4,1,Rage Damage,+2
8eccd689-296e-5080-ad2d-ca273bc481e4,2,Weapon Mastery,3
10dfad3c-56aa-5da0-88e9-0e80f48c13cd,0,Rages,4
10dfad3c-56aa-5da0-88e9-0e80f48c13cd,1,Rage Damage,+2
10dfad3c-56aa-5da0-88e9-0e80f48c13cd,2,Weapon Mastery,3
a0056fc5-f6b6-5eef-b00f-4ce4659cfa09,0,Rages,4
a0056fc5-f6b6-5eef-b00f-4ce4659cfa09,1,Rage Damage,+2
a0056fc5-f6b6-5eef-b00f-4ce4659cfa09,2,Weapon Mastery,3
6ec1c637-acd8-59ac-9ee0-71a1c989374c,0,Rages,4
6ec1c637-acd8-59ac-9ee0-71a1c989374c,1,Rage Damage,+3
6ec1c637-acd8-59ac-9ee0-71a1c989374c,2,Weapon Mastery,3
9d23aa18-46e8-5c37-9a6c-04550b842582,0,Rages,4
