id,created_at,updated_at,version,vocation_id,level,proficiency_bonus,feature_summary,cantrips_known,prepared_spells
255c50cd-5ff9-5139-ba03-2079e188b8af,2026-09-08T00:00:00,2026-09-08T00:00:00,0,9f6a6acf-2d56-5990-9e11-65ad14cc0724,1,2,"Rage, Unarmored Defense, Weapon Mastery",NULL,NULL
749d7a4f-5671-5c02-8c3d-9148b79b5611,2026-09-08T00:00:00,2026-09-08T00:00:00,0,9f6a6acf-2d56-5990-9e11-65ad14cc0724,2,2,"Danger Sense, Reckless Attack",NULL,NULL
15ba0ca7-4fec-5643-8cf5-cddd9dfae182,2026-09-08T00:00:00,2026-09-08T00:00:00,0,9f6a6acf-2d56-5990-9e11-65ad14cc0724,3,2,"Barbarian Subclass, Primal Knowledge",NULL,NULL
d4ced9ec-f497-5ba9-aa47-3391e7828062,2026-09-08T00:00:00,2026-09-08T00:00:00,0,9f6a6acf-2d56-5990-9e11-65ad14cc0724,4,2,Ability Score Improvement,NULL,NULL
6e67a021-4a5c-58d1-8d89-948f5d7a30b6,2026-09-08T00:00:00,2026-09-08T00:00:00,0,9f6a6acf-2d56-5990-9e11-65ad14cc0724,5,3,"Extra Attack, Fast Movement",NULL,NULL
8eccd689-296e-5080-ad2d-ca273bc481e4,2026-09-08T00:00:00,2026-09-08T00:00:00,0,9f6a6acf-2d56-5990-9e11-65ad14cc0724,6,3,Subclass feature,NULL,NULL
10dfad3c-56aa-5da0-88e9-0e80f48c13cd,2026-09-08T00:00:00,2026-09-08T00:00:00,0,9f6a6acf-2d56-5990-9e11-65ad14cc0724,7,3,"Feral Instinct, Instinctive Pounce",NULL,NULL
a0056fc5-f6b6-5eef-b00f-4ce4659cfa09,2026-09-08T00:00:00,2026-09-08T00:00:00,0,9f6a6acf-2d56-5990-9e11-65ad14cc0724,8,3,Ability Score Improvement,NULL,NULL
6ec1c637-acd8-59ac-9ee0-71a1c989374c,2026-09-08T00:00:00,2026-09-08T00:00:00,0,9f6a6acf-2d56-5990-9e11-65ad14cc0724,9,4,Brutal Strike,NULL,NULL
9d23aa18-46e8-5c37-9a6c-04550b842582,2026-09-08T00:00:00,2026-09-08T00:00:00,0,9f6a6acf-2d56-5990-9e11-65ad14cc0724,10,4,Subclass feature,NULL,NULL
5bcfd41a-6aa7-52e7-bbe8-de1030b3140c,2026-09-08T00:00:00,2026-09-08T00:00:00,0,9f6a6acf-2d56-5990-9e11-65ad14cc0724,11,4,Relentless Rage,NULL,NULL
79f2ebec-6d09-5ba2-9262-a567b3a22dfb,2026-09-08T00:00:00,2026-09-08T00:00:00,0,9f6a6acf-2d56-5990-9e11-65ad14cc0724,12,4,Ability Score Improvement,NULL,NULL
0add218b-2a51-5b97-8520-5041e6941bc7,2026-09-08T00:00:00,2026-09-08T00:00:00,0,9f6a6acf-2d56-5990-9e11-65ad14cc0724,13,5,Improved Brutal Strike,NULL,NULL
3e3dcff8-caf3-5aaa-a73c-929d264bd0e9,2026-09-08T00:00:00,2026-09-08T00:00:00,0,9f6a6acf-2d56-5990-9e11-65ad14cc0724,14,5,Subclass feature,NULL,NULL
71b70d64-f072-5ed1-8147-12820e6ea7d0,2026-09-08T00:00:00,2026-09-08T00:00:00,0,9f6a6acf-2d56-5990-9e11-65ad14cc0724,15,5,Persistent Rage,NULL,NULL
d1627729-f528-59a9-ab6d-919d8b790489,2026-09-08T00:00:00,2026-09-08T00:00:00,0,9f6a6acf-2d56-5990-9e11-65ad14cc0724,16,5,Ability Score Improvement,NULL,NULL
ede0d0d9-4777-53d6-b0da-f4abf68f2dbc,2026-09-08T00:00:00,2026-09-08T00:00:00,0,9f6a6acf-2d56-5990-9e11-65ad14cc0724,17,6,Improved Brutal Strike,NULL,NULL
