vocation_id,ability
9f6a6acf-2d56-5990-9e11-65ad14cc0724,STRENGTH
9f6a6acf-2d56-5990-9e11-65ad14cc0724,CONSTITUTION
3dbe561c-5bcb-5d63-9d45-b138153ed9d7,DEXTERITY
3dbe561c-5bcb-5d63-9d45-b138153ed9d7,CHARISMA
5a766548-3c4f-5273-89ee-11a90d1e7ce1,WISDOM
5a766548-3c4f-5273-89ee-11a90d1e7ce1,CHARISMA
d328bebd-d404-53ab-a8e1-30020cfac6e6,INTELLIGENCE
d328bebd-d404-53ab-a8e1-30020cfac6e6,WISDOM
b3a53882-ce37-5c3f-b5eb-8498bf6fe14a,STRENGTH
b3a53882-ce37-5c3f-b5eb-8498bf6fe14a,CONSTITUTION
29f83bd3-fe5f-5fa3-889f-c685c82ea177,STRENGTH
29f83bd3-fe5f-5fa3-889f-c685c82ea177,DEXTERITY
eeb719a0-134e-5484-837c-c2ca360facaf,WISDOM
eeb719a0-134e-5484-837c-c2ca360facaf,CHARISMA
bfb29762-cbb4-532e-a82f-54808c7e209d,STRENGTH
bfb29762-cbb4-532e-a82f-54808c7e209d,DEXTERITY
12b7133c-16a4-5974-93f6-f5a3b65bd670,DEXTERITY
12b7133c-16a4-5974-93f6-f5a3b65bd670,INTELLIGENCE
d8f1aa54-e1c7-55f0-9436-1da48a0ba8be,CONSTITUTION
d8f1aa54-e1c7-55f0-9436-1da48a0ba8be,CHARISMA
d5dabf61-a3cb-5dde-a75e-9667de1e6294,WISDOM
d5dabf61-a3cb-5dde-a75e-9667de1e6294,CHARISMA
809eb721-f97d-511f-8874-9bfe81c64628,INTELLIGENCE
809eb721-f97d-511f-8874-9bfe81c64628,WISDOM
