vocation_id,skill
9f6a6acf-2d56-5990-9e11-65ad14cc0724,ANIMAL_HANDLING
9f6a6acf-2d56-5990-9e11-65ad14cc0724,ATHLETICS
9f6a6acf-2d56-5990-9e11-65ad14cc0724,INTIMIDATION
9f6a6acf-2d56-5990-9e11-65ad14cc0724,NATURE
9f6a6acf-2d56-5990-9e11-65ad14cc0724,PERCEPTION
9f6a6acf-2d56-5990-9e11-65ad14cc0724,SURVIVAL
3dbe561c-5bcb-5d63-9d45-b138153ed9d7,ACROBATICS
3dbe561c-5bcb-5d63-9d45-b138153ed9d7,ANIMAL_HANDLING
3dbe561c-5bcb-5d63-9d45-b138153ed9d7,ARCANA
3dbe561c-5bcb-5d63-9d45-b138153ed9d7,ATHLETICS
3dbe561c-5bcb-5d63-9d45-b138153ed9d7,DECEPTION
3dbe561c-5bcb-5d63-9d45-b138153ed9d7,HISTORY
3dbe561c-5bcb-5d63-9d45-b138153ed9d7,INSIGHT
3dbe561c-5bcb-5d63-9d45-b138153ed9d7,INTIMIDATION
3dbe561c-5bcb-5d63-9d45-b138153ed9d7,INVESTIGATION
3dbe561c-5bcb-5d63-9d45-b138153ed9d7,MEDICINE
3dbe561c-5bcb-5d63-9d45-b138153ed9d7,NATURE
3dbe561c-5bcb-5d63-9d45-b138153ed9d7,PERCEPTION
3dbe561c-5bcb-5d63-9d45-b138153ed9d7,PERFORMANCE
3dbe561c-5bcb-5d63-9d45-b138153ed9d7,PERSUASION
3dbe561c-5bcb-5d63-9d45-b138153ed9d7,RELIGION
3dbe561c-5bcb-5d63-9d45-b138153ed9d7,SLEIGHT_OF_HAND
3dbe561c-5bcb-5d63-9d45-b138153ed9d7,STEALTH
3dbe561c-5bcb-5d63-9d45-b138153ed9d7,SURVIVAL
5a766548-3c4f-5273-89ee-11a90d1e7ce1,HISTORY
5a766548-3c4f-5273-89ee-11a90d1e7ce1,INSIGHT
5a766548-3c4f-5273-89ee-11a90d1e7ce1,MEDICINE
5a766548-3c4f-5273-89ee-11a90d1e7ce1,PERSUASION
