id,created_at,updated_at,version,srd_version,name,hit_die,skill_choices,caster_progression,spellcasting_ability,weapon_proficiencies,tool_proficiencies,starting_equipment
9f6a6acf-2d56-5990-9e11-65ad14cc0724,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Barbarian,12,2,NONE,NULL,Simple and Martial weapons,NULL,"Choose A or B: (A) Greataxe, 4 Handaxes, Explorer's Pack, and 15 GP; or (B) 75 GP"
3dbe561c-5bcb-5d63-9d45-b138153ed9d7,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Bard,8,3,FULL,CHARISMA,Simple weapons,"Choose 3 Musical Instruments (see ""Equipment"")","Choose A or B: (A) Leather Armor, 2 Daggers, Musical Instrument of your choice, Entertainer's Pack, and 19 GP; or (B) 90 GP"
5a766548-3c4f-5273-89ee-11a90d1e7ce1,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Cleric,8,2,FULL,WISDOM,Simple weapons,NULL,"Choose A or B: (A) Chain Shirt, Shield, Mace, Holy Symbol, Priest's Pack, and 7 GP; or (B) 110 GP"
d328bebd-d404-53ab-a8e1-30020cfac6e6,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Druid,8,2,FULL,WISDOM,Simple weapons,Herbalism Kit,"Choose A or B: (A) Leather Armor, Shield, Sickle, Druidic Focus (Quarterstaff), Explorer's Pack, Herbalism Kit, and 9 GP; or (B) 50 GP"
b3a53882-ce37-5c3f-b5eb-8498bf6fe14a,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Fighter,10,2,NONE,NULL,Simple and Martial weapons,NULL,"Choose A , B , or C: (A) Chain Mail, Greatsword, Flail, 8 Javelins, Dungeoneer's Pack, and 4 GP; (B) Studded Leather Armor, Scimitar, Short sword, Longbow, 20 Arrows, Quiver, Dungeoneer's Pack, and 11 GP; or (C) 155 GP"
29f83bd3-fe5f-5fa3-889f-c685c82ea177,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Monk,8,2,NONE,NULL,Simple weapons and Martial weapons that have the Light property,"Choose one type of Artisan's Tools or Musical Instrument (see ""Equipment"")","Choose A or B: (A) Spear, 5 Daggers, Artisan's Tools or Musical Instrument chosen for the tool proficiency above, Explorer's Pack, and 11 GP; or (B) 50 GP"
eeb719a0-134e-5484-837c-c2ca360facaf,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Paladin,10,2,HALF,CHARISMA,Simple and Martial weapons,NULL,"Choose A or B: (A) Chain Mail, Shield, Longsword, 6 Javelins, Holy Symbol, Priest's Pack, and 9 GP; or (B) 150 GP"
bfb29762-cbb4-532e-a82f-54808c7e209d,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Ranger,10,3,HALF,WISDOM,Simple and Martial weapons,NULL,"Choose A or B: (A) Studded Leather Armor, Scimitar, Shortsword, Longbow, 20 Arrows, Quiver, Druidic Focus (sprig of mistletoe), Explorer's Pack, and 7 GP; or (B) 150 GP"
12b7133c-16a4-5974-93f6-f5a3b65bd670,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Rogue,8,4,NONE,NULL,Simple weapons and Martial weapons that have the Finesse or Light property,Thieves' Tools,"Choose A or B: (A) Leather Armor, 2 Daggers, Short sword, Shortbow, 20 Arrows, Quiver, Thieves' Tools, Burglar's Pack, and 8 GP; or (B) 100 GP"
d8f1aa54-e1c7-55f0-9436-1da48a0ba8be,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Sorcerer,6,2,FULL,CHARISMA,Simple weapons,NULL,"Choose A or B: (A) Spear, 2 Daggers, Arcane Focus (crystal), Dungeoneer's Pack, and 28 GP; or (B) 50 GP"
d5dabf61-a3cb-5dde-a75e-9667de1e6294,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Warlock,8,2,PACT,CHARISMA,Simple weapons,NULL,"Choose A or B: (A) Leather Armor, Sickle, 2 Daggers, Arcane Focus (orb), Book (occult lore), Scholar's Pack, and 15 GP; or (B) 100 GP"
809eb721-f97d-511f-8874-9bfe81c64628,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Wizard,6,2,FULL,INTELLIGENCE,Simple weapons,NULL,"Choose A or B: (A) 2 Daggers, Arcane Focus (Quarterstaff), Robe, Spellbook, Scholar's Pack, and 5 GP; or (B) 55 GP"
