id,created_at,updated_at,version,name,description,ordinal,species_id,activation,uses_reset
39ea7b54-b710-51b6-a6da-b7e6ae3def20,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Draconic Ancestry,"Your lineage stems from a dragon progenitor. Choose the kind of dragon from the Draconic Ancestors table. Your choice affects your Breath Weapon and Damage Resistance traits as well as your appearance.

Draconic Ancestors
Dragon Damage Type  Dragon Damage Type
Black  Acid  Gold  Fire
Blue  Lightning  Green  Poison
Brass  Fire  Red  Fire
Bronze  Lightning  Silver  Cold
Copper Acid  White  Cold",0,ecf72c94-a349-5077-a4bd-e4944db27ee1,PASSIVE,AT_WILL
60201f49-585d-5ffd-a01f-e41559242e28,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Breath Weapon,"When you take the Attack action on your turn, you can replace one of your attacks with an exhalation of magical energy in either a 15-foot Cone or a 30-foot Line that is 5 feet wide (choose the shape each time). Each creature in that area must make a Dexterity saving throw (DC 8 plus your Constitution modifier and Proficiency Bonus). On a failed save, a creature takes 1d10 damage of the type determined by your Draconic Ancestry trait. On a successful save, a creature takes half as much damage. This damage increases by 1d10 when you reach character levels 5 (2d10), 11 (3d10), and 17 (4d10).

You can use this Breath Weapon a number of times equal to your Proficiency Bonus, and you regain all expended uses when you finish a Long Rest.",1,ecf72c94-a349-5077-a4bd-e4944db27ee1,PASSIVE,AT_WILL
615421ef-43a4-5c5e-8720-5a768bfb9cc0,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Damage Resistance,You have Resistance to the damage type determined by your Draconic Ancestry trait.,2,ecf72c94-a349-5077-a4bd-e4944db27ee1,PASSIVE,AT_WILL
c47531e7-32e1-583a-a0b8-e27945472250,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Darkvision,You have Darkvision with a range of 60 feet.,3,ecf72c94-a349-5077-a4bd-e4944db27ee1,PASSIVE,AT_WILL
d5efe40b-6633-50b0-9a0b-ef45c8b6d9a0,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Draconic Flight,"When you reach character level 5, you can channel draconic magic to give yourself temporary flight. As a Bonus Action, you sprout spectral wings on your back that last for 10 minutes or until you retract the wings (no action required) or have the Incapacitated condition. During that time, you have a Fly Speed equal to your Speed. Your wings appear to be made of the same energy as your Breath Weapon. Once you use this trait, you can't use it again until you finish a Long Rest.",4,ecf72c94-a349-5077-a4bd-e4944db27ee1,PASSIVE,AT_WILL
8eaa7534-7d84-5d79-98a6-eaee0138cc16,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Darkvision,You have Darkvision with a range of 120 feet.,0,60461515-cfab-58d6-a4ac-264177d9547f,PASSIVE,AT_WILL
5b31f082-64b4-5a8e-8dac-f564cfeb3440,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Dwarven Resilience,You have Resistance to Poison damage. You also have Advantage on saving throws you make to avoid or end the Poisoned condition.,1,60461515-cfab-58d6-a4ac-264177d9547f,PASSIVE,AT_WILL
1961eba5-6050-515f-9b9e-64ff046439e6,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Dwarven Toughness,"Your Hit Point maximum increases by 1, and it increases by 1 again whenever you gain a level.",2,60461515-cfab-58d6-a4ac-264177d9547f,PASSIVE,AT_WILL
131fa209-39fc-5967-a144-b3e0b505b7ab,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Stonecunning,"As a Bonus Action, you gain Tremorsense with a range of 60 feet for 10 minutes. You must be on a stone surface or touching a stone surface to use this Tremorsense. The stone can be natural or worked.

You can use this Bonus Action a number of times equal to your Proficiency Bonus, and you regain all expended uses when you finish a Long Rest.",3,60461515-cfab-58d6-a4ac-264177d9547f,PASSIVE,AT_WILL
49795da6-9536-5f78-a42e-f48a5626fbbf,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Darkvision,You have Darkvision with a range of 60 feet.,0,e95d33ab-3708-516c-ad08-253a4a5b8124,PASSIVE,AT_WILL
2e8107d4-0b64-50b7-bfad-64306885042a,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Elven Lineage,"You are part of a lineage that grants you supernatural abilities. Choose a lineage from the Elven Lineages table. You gain the level 1 benefit of that lineage.

When you reach character levels 3 and 5, you learn a higher-level spell, as shown on the table. You always have that spell prepared. You can cast it once without a spell slot, and you regain the ability to cast it in that way when you finish a Long Rest. You can also cast the spell using any spell slots you have of the appropriate level.

Elven Lineages
Lineage  Level 1
Drow  The range of your Darkvision increases to 120 feet.
You also know the Dancing Lights cantrip.
High Elf  You know the Prestidigitation cantrip. Whenever you finish
a Long Rest, you can replace that cantrip with a different
cantrip from the Wizard spell list.
Wood Elf  Your Speed increases to 35 feet. You also know the
Druidcraft cantrip.

Intelligence, Wisdom, or Charisma is your spellcasting ability for the spells you cast with this trait (choose the ability when you select the lineage).",1,e95d33ab-3708-516c-ad08-253a4a5b8124,PASSIVE,AT_WILL
18544d56-1ee0-57ba-b1e6-f5699b27489c,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Fey Ancestry,You have Advantage on saving throws you make to avoid or end the Charmed condition.,2,e95d33ab-3708-516c-ad08-253a4a5b8124,PASSIVE,AT_WILL
