stat_block_id,damage_type,response
02d56165-918f-5708-89af-3df7569c4f7f,BLUDGEONING,RESISTANCE
02d56165-918f-5708-89af-3df7569c4f7f,LIGHTNING,RESISTANCE
02d56165-918f-5708-89af-3df7569c4f7f,PIERCING,RESISTANCE
02d56165-918f-5708-89af-3df7569c4f7f,SLASHING,RESISTANCE
02d56165-918f-5708-89af-3df7569c4f7f,POISON,IMMUNITY
02d56165-918f-5708-89af-3df7569c4f7f,THUNDER,IMMUNITY
49a0bd4b-a9f9-50b2-9bc3-629df64418ea,POISON,IMMUNITY
49a0bd4b-a9f9-50b2-9bc3-629df64418ea,PSYCHIC,IMMUNITY
00be073f-399c-53ec-b755-86bd872fab90,POISON,IMMUNITY
00be073f-399c-53ec-b755-86bd872fab90,PSYCHIC,IMMUNITY
a088256d-750f-5976-a8d0-29afc20ed1ae,POISON,IMMUNITY
a088256d-750f-5976-a8d0-29afc20ed1ae,PSYCHIC,IMMUNITY
b9f0f10b-2ba9-5c77-97f0-f5ef4820930b,POISON,RESISTANCE
ead25cde-1a8d-5b07-8653-b98adfa2622c,FIRE,VULNERABILITY
ead25cde-1a8d-5b07-8653-b98adfa2622c,PIERCING,RESISTANCE
584358af-5ad8-5f80-9d4c-7d4782a3c9ef,FIRE,VULNERABILITY
584358af-5ad8-5f80-9d4c-7d4782a3c9ef,BLUDGEONING,RESISTANCE
584358af-5ad8-5f80-9d4c-7d4782a3c9ef,PIERCING,RESISTANCE
2723c0a7-abe7-5dab-bf94-e15c6d618c94,FIRE,IMMUNITY
2723c0a7-abe7-5dab-bf94-e15c6d618c94,POISON,IMMUNITY
dc1e420c-2ae8-50f4-8632-36e3594b028c,COLD,RESISTANCE
dc1e420c-2ae8-50f4-8632-36e3594b028c,LIGHTNING,RESISTANCE
dc1e420c-2ae8-50f4-8632-36e3594b028c,FIRE,IMMUNITY
dc1e420c-2ae8-50f4-8632-36e3594b028c,POISON,IMMUNITY
9c07ced8-070d-550e-95b8-e88ef5c281a2,COLD,RESISTANCE
9c07ced8-070d-550e-95b8-e88ef5c281a2,FIRE,IMMUNITY
9c07ced8-070d-550e-95b8-e88ef5c281a2,POISON,IMMUNITY
fd78f130-1479-58d2-be72-d39c70317061,COLD,RESISTANCE
fd78f130-1479-58d2-be72-d39c70317061,FIRE,IMMUNITY
fd78f130-1479-58d2-be72-d39c70317061,POISON,IMMUNITY
5c8dc5ce-2b6d-55b9-86d3-bf6d728aba72,LIGHTNING,IMMUNITY
eb2ea78b-f92d-5b9e-ac8b-44a45da749ef,ACID,IMMUNITY
f9283f1b-1e59-5722-9f4b-5eec409900ff,ACID,IMMUNITY
4c42bba9-e53c-5166-88aa-f2bcae6099c3,ACID,IMMUNITY
d105defc-70be-5c46-bb92-261210cb9017,ACID,IMMUNITY
fee468d5-1dea-5c29-ae19-29f2c0a7eea2,ACID,IMMUNITY
fee468d5-1dea-5c29-ae19-29f2c0a7eea2,COLD,IMMUNITY
fee468d5-1dea-5c29-ae19-29f2c0a7eea2,LIGHTNING,IMMUNITY
fee468d5-1dea-5c29-ae19-29f2c0a7eea2,SLASHING,IMMUNITY
3252b304-f866-565f-8589-bc91ad630818,LIGHTNING,IMMUNITY
28ca8680-d046-521a-8cfe-e08f36ec9784,LIGHTNING,IMMUNITY
ad6bc2d8-cb47-56c1-9f95-b6a4d49e3fd9,LIGHTNING,IMMUNITY
175e7fb4-0b2d-58d0-9509-0e38d5cc1b76,LIGHTNING,IMMUNITY
0e85d74b-3cc9-528e-8346-0c50e2fa890a,COLD,RESISTANCE
0e85d74b-3cc9-528e-8346-0c50e2fa890a,FIRE,IMMUNITY
0e85d74b-3cc9-528e-8346-0c50e2fa890a,POISON,IMMUNITY
53eecd33-b723-5698-aad8-be4f5769dfff,FIRE,IMMUNITY
4861d128-a31a-5af4-a8cf-186ba15cdbe7,FIRE,IMMUNITY
0a0ac3d8-b993-56f8-bacc-4fd12b3ebd82,FIRE,IMMUNITY
a79b4f29-217a-560d-b531-c4e3a1e90688,FIRE,IMMUNITY
1810cc58-9406-5d1c-b03a-45846d94f7d6,LIGHTNING,IMMUNITY
f8a6fde2-0db9-5a03-9908-cafbe72ef9bf,LIGHTNING,IMMUNITY
4a686859-4851-5d47-b3ea-d5303adfac70,LIGHTNING,IMMUNITY
feb2e64e-a0be-5b77-b650-900315f7fbb2,LIGHTNING,IMMUNITY
9d0f45d2-353c-55d6-b25a-ecf41a13a35e,BLUDGEONING,RESISTANCE
9d0f45d2-353c-55d6-b25a-ecf41a13a35e,COLD,RESISTANCE
9d0f45d2-353c-55d6-b25a-ecf41a13a35e,PIERCING,RESISTANCE
9d0f45d2-353c-55d6-b25a-ecf41a13a35e,SLASHING,RESISTANCE
9d0f45d2-353c-55d6-b25a-ecf41a13a35e,FIRE,IMMUNITY
9d0f45d2-353c-55d6-b25a-ecf41a13a35e,POISON,IMMUNITY
f8687241-5230-57e7-8cc5-96a1769ed7eb,POISON,IMMUNITY
30ddc18c-251c-5334-99e2-7b0e692d8a05,BLUDGEONING,RESISTANCE
30ddc18c-251c-5334-99e2-7b0e692d8a05,PIERCING,RESISTANCE
30ddc18c-251c-5334-99e2-7b0e692d8a05,SLASHING,RESISTANCE
30ddc18c-251c-5334-99e2-7b0e692d8a05,ACID,IMMUNITY
30ddc18c-251c-5334-99e2-7b0e692d8a05,POISON,IMMUNITY
30ddc18c-251c-5334-99e2-7b0e692d8a05,PSYCHIC,IMMUNITY
ce0387c8-3d13-50bf-a216-5174851b483d,ACID,IMMUNITY
20d99010-e378-59c5-a9ca-52eb9fbd070c,ACID,IMMUNITY
df40b7e6-7047-5eb9-ab7e-f8ce1c1280d5,ACID,IMMUNITY
33da4341-6b62-5233-9c0f-f355e2738ccc,ACID,IMMUNITY
75aaf7d9-8097-5f09-8c47-db10961f69cb,BLUDGEONING,RESISTANCE
