id,created_at,updated_at,version,name,description,ordinal,stat_block_id,activation,legendary_cost,trigger_text,ritual,uses_reset,uses_max,recharge_min,recharge_max
71a63806-32f8-5039-be1f-87524329cf01,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Amphibious,The aboleth can breathe air and water.,0,3a97722b-d731-5b16-8d48-45517a5a853b,PASSIVE,NULL,NULL,false,AT_WILL,NULL,NULL,NULL
e6d9d020-417f-5f14-87be-565a13d1d272,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Eldritch Restoration,"If destroyed, the aboleth gains a new body in 5d10 days, reviving with all its Hit Points in the Far Realm or another location chosen by the GM.",1,3a97722b-d731-5b16-8d48-45517a5a853b,PASSIVE,NULL,NULL,false,AT_WILL,NULL,NULL,NULL
75cc7af5-57f1-528c-8fc1-bf4d8054db8f,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Legendary Resistance,"If the aboleth fails a saving throw, it can choose to succeed instead.",2,3a97722b-d731-5b16-8d48-45517a5a853b,PASSIVE,NULL,NULL,false,PER_DAY,3,NULL,NULL
5030981c-3aff-57d5-a158-d54a88543122,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Mucus Cloud,"While underwater, the aboleth is surrounded by mucus. Constitution Saving Throw: DC 14, each creature in a 5-foot Emanation originating from the aboleth at the end of the aboleth's turn. Failure: The target is cursed. Until the curse ends, the target's skin becomes slimy, the target can breathe air and water, and it can't regain Hit Points unless it is underwater. While the cursed creature is outside a body of water, the creature takes 6 (1d12) Acid damage at the end of every 10 minutes unless moisture is applied to its skin before those minutes have passed.",3,3a97722b-d731-5b16-8d48-45517a5a853b,PASSIVE,NULL,NULL,false,AT_WILL,NULL,NULL,NULL
ec61d485-de18-5459-9b42-a659a1b35b32,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Probing Telepathy,"If a creature the aboleth can see communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires.",4,3a97722b-d731-5b16-8d48-45517a5a853b,PASSIVE,NULL,NULL,false,AT_WILL,NULL,NULL,NULL
b7cb1ff1-37ab-5a09-b264-428927c8eab8,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Multiattack,The aboleth makes two Tentacle attacks and uses either Consume Memories or Dominate Mind if available.,5,3a97722b-d731-5b16-8d48-45517a5a853b,ACTION,NULL,NULL,false,AT_WILL,NULL,NULL,NULL
149a656d-9039-56cd-b4a6-4ed4d283fb3f,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Tentacle,"Melee Attack Roll: +9, reach 15 ft. Hit: 12 (2d6 + 5) Bludgeoning damage. If the target is a Large or smaller creature, it has the Grappled condition (escape DC 14) from one of four tentacles.",6,3a97722b-d731-5b16-8d48-45517a5a853b,ACTION,NULL,NULL,false,AT_WILL,NULL,NULL,NULL
8d69d00e-08f7-5ea8-8db1-8187c15c1dda,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Consume Memories,"Intelligence Saving Throw: DC 16, one creature within 30 feet that is Charmed or Grappled by the aboleth. Failure: 10 (3d6) Psychic damage. Success: Half damage. Failure or Success: The aboleth gains the target's memories if the target is a Humanoid and is reduced to 0 Hit Points by this action.",7,3a97722b-d731-5b16-8d48-45517a5a853b,ACTION,NULL,NULL,false,AT_WILL,NULL,NULL,NULL
de0f7a45-315d-5e44-a9ec-fc62ac90553a,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Dominate Mind,"Wisdom Saving Throw: DC 16, one creature the aboleth can see within 30 feet. Failure: The target has the Charmed condition until the aboleth dies or is on a different plane of existence from the target. While Charmed, the target acts as an ally to the aboleth and is under its control while within 60 feet of it. In addition, the aboleth and the target can communicate telepathically with each other over any distance. The target repeats the save whenever it takes damage as well as after every 24 hours it spends at least 1 mile away from the aboleth, ending the effect on itself on a success.",8,3a97722b-d731-5b16-8d48-45517a5a853b,ACTION,NULL,NULL,false,PER_DAY,2,NULL,NULL
4cfa74e1-4297-5a1f-8a9f-a89e367ea2d6,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Lash,The aboleth makes one Tentacle attack.,9,3a97722b-d731-5b16-8d48-45517a5a853b,LEGENDARY,NULL,NULL,false,AT_WILL,NULL,NULL,NULL
983b70db-05c0-5da7-a000-97ded6e0a55c,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Psychic Drain,"If the aboleth has at least one creature Charmed or Grappled, it uses Consume Memories and regains 5 (1d10) Hit Points.",10,3a97722b-d731-5b16-8d48-45517a5a853b,LEGENDARY,NULL,NULL,false,AT_WILL,NULL,NULL,NULL
1b2fbe6a-e74f-50e2-ac78-279e19904b81,2026-09-08T00:00:00,2026-09-08T00:00:00,0,Air Form,The elemental can enter a creature's space and stop there. It can move through a space as narrow as 1 inch without expending extra movement to do so.,0,02d56165-918f-5708-89af-3df7569c4f7f,PASSIVE,NULL,NULL,false,AT_WILL,NULL,NULL,NULL
