stat_block_id,item_name,quantity
b9f0f10b-2ba9-5c77-97f0-f5ef4820930b,Light Crossbow,1
b9f0f10b-2ba9-5c77-97f0-f5ef4820930b,Shortsword,1
b9f0f10b-2ba9-5c77-97f0-f5ef4820930b,Studded Leather Armor,1
65fca663-1259-5ad7-b71b-4268a89c1de8,Leather Armor,1
65fca663-1259-5ad7-b71b-4268a89c1de8,Light Crossbow,1
65fca663-1259-5ad7-b71b-4268a89c1de8,Scimitar,1
2048dc5f-85e3-5c28-8fd2-92fbd80710ea,Pistol,1
2048dc5f-85e3-5c28-8fd2-92fbd80710ea,Scimitar,1
2048dc5f-85e3-5c28-8fd2-92fbd80710ea,Studded Leather Armor,1
92238e35-a2f2-5362-8349-b6235f1b7942,Greataxe,1
92238e35-a2f2-5362-8349-b6235f1b7942,Hide Armor,1
707a2111-17f9-5510-8d72-0638f947ccb1,Chain Shirt,1
707a2111-17f9-5510-8d72-0638f947ccb1,Javelins,6
707a2111-17f9-5510-8d72-0638f947ccb1,Morningstar,1
1f4940b4-7f8a-52de-8c9f-ca62bb7a26bb,Hide Armor,1
1f4940b4-7f8a-52de-8c9f-ca62bb7a26bb,Light Hammers,3
0068719a-5a5d-5df4-a8e5-55b712c71e7f,Breastplate,1
0068719a-5a5d-5df4-a8e5-55b712c71e7f,Longbow,1
0068719a-5a5d-5df4-a8e5-55b712c71e7f,Pike,1
a8fc19ef-5730-5d26-b461-c590dfdbc3b9,Club,1
cf402a02-a4aa-50e5-a064-ab051149082f,Leather Armor,1
cf402a02-a4aa-50e5-a064-ab051149082f,Sickle,1
e4ab2238-e788-5fae-b26d-32aa80151e67,Holy Symbol,1
e4ab2238-e788-5fae-b26d-32aa80151e67,Leather Armor,1
1bd5702c-3e46-5ef7-9c2f-74770fb8ef7d,Studded Leather Armor,1
c87f1d42-e66b-50e8-9625-1741041c8a93,Battleaxe,1
c87f1d42-e66b-50e8-9625-1741041c8a93,Morningstar,1
d8f72762-af3b-5b03-9c37-a4ddc79f2e1b,Shield,1
d8f72762-af3b-5b03-9c37-a4ddc79f2e1b,Spears,3
d8f72762-af3b-5b03-9c37-a4ddc79f2e1b,Studded Leather Armor,1
ad77e9cf-c420-5b55-bafe-46c51fba0ade,Daggers,3
08b6d58f-a525-5063-9bdb-72618a737b11,Leather Armor,1
08b6d58f-a525-5063-9bdb-72618a737b11,Scimitar,1
08b6d58f-a525-5063-9bdb-72618a737b11,Shield,1
08b6d58f-a525-5063-9bdb-72618a737b11,Shortbow,1
e8108f5d-5141-5121-89ec-692f9fe7328d,Chain Shirt,1
e8108f5d-5141-5121-89ec-692f9fe7328d,Scimitar,1
e8108f5d-5141-5121-89ec-692f9fe7328d,Shield,1
e8108f5d-5141-5121-89ec-692f9fe7328d,Shortbow,1
c442a044-2660-5ae1-bb76-7941919b88aa,Chain Shirt,1
c442a044-2660-5ae1-bb76-7941919b88aa,Shield,1
c442a044-2660-5ae1-bb76-7941919b88aa,Spear,1
33eb289c-e2fe-5c3c-ab3f-1d86c92f00e5,Breastplate,1
33eb289c-e2fe-5c3c-ab3f-1d86c92f00e5,Javelins,6
33eb289c-e2fe-5c3c-ab3f-1d86c92f00e5,Longsword,1
33eb289c-e2fe-5c3c-ab3f-1d86c92f00e5,Shield,1
45d59fb4-87ea-5101-88e4-8749239b5fc1,Half Plate Armor,1
45d59fb4-87ea-5101-88e4-8749239b5fc1,Longbow,1
45d59fb4-87ea-5101-88e4-8749239b5fc1,Longsword,1
45d59fb4-87ea-5101-88e4-8749239b5fc1,Shield,1
bdbf6f10-fb16-5ce7-99cd-f74fdec699f3,Greatsword,1
bdbf6f10-fb16-5ce7-99cd-f74fdec699f3,Half Plate Armor,1
bdbf6f10-fb16-5ce7-99cd-f74fdec699f3,Longbow,1
4e972e38-7089-56be-b409-0cba74ef0537,Greatsword,1
4e972e38-7089-56be-b409-0cba74ef0537,Heavy Crossbow,1
4e972e38-7089-56be-b409-0cba74ef0537,Plate Armor,1
e5e42c51-2f6c-5283-ab41-83068f4a3436,Daggers,3
874246f2-ba2f-5948-add9-e11c8fa60fd9,Component Pouch,1
e9358f36-6ff4-5a72-bd5e-923bc130177c,Wand,1
252f9ded-9b49-5d4d-bda3-d1141e1b97f4,Wand,1
5d5a5edf-cbf2-5478-954e-06f2f58313f3,Breastplate,1
5d5a5edf-cbf2-5478-954e-06f2f58313f3,Rapier,1
