stat_block_id,spell_name,spell_level,uses_reset,uses_max
4c42bba9-e53c-5166-88aa-f2bcae6099c3,Acid Arrow,3,AT_WILL,NULL
4c42bba9-e53c-5166-88aa-f2bcae6099c3,Detect Magic,NULL,AT_WILL,NULL
4c42bba9-e53c-5166-88aa-f2bcae6099c3,Fear,NULL,AT_WILL,NULL
4c42bba9-e53c-5166-88aa-f2bcae6099c3,Speak with Dead,NULL,PER_DAY,1
4c42bba9-e53c-5166-88aa-f2bcae6099c3,Vitriolic Sphere,NULL,PER_DAY,1
d105defc-70be-5c46-bb92-261210cb9017,Acid Arrow,4,AT_WILL,NULL
d105defc-70be-5c46-bb92-261210cb9017,Detect Magic,NULL,AT_WILL,NULL
d105defc-70be-5c46-bb92-261210cb9017,Fear,NULL,AT_WILL,NULL
d105defc-70be-5c46-bb92-261210cb9017,Create Undead,NULL,PER_DAY,1
d105defc-70be-5c46-bb92-261210cb9017,Speak with Dead,NULL,PER_DAY,1
d105defc-70be-5c46-bb92-261210cb9017,Vitriolic Sphere,5,PER_DAY,1
ad6bc2d8-cb47-56c1-9f95-b6a4d49e3fd9,Detect Magic,NULL,AT_WILL,NULL
ad6bc2d8-cb47-56c1-9f95-b6a4d49e3fd9,Invisibility,NULL,AT_WILL,NULL
ad6bc2d8-cb47-56c1-9f95-b6a4d49e3fd9,Mage Hand,NULL,AT_WILL,NULL
ad6bc2d8-cb47-56c1-9f95-b6a4d49e3fd9,Shatter,NULL,AT_WILL,NULL
ad6bc2d8-cb47-56c1-9f95-b6a4d49e3fd9,Scrying,NULL,PER_DAY,1
ad6bc2d8-cb47-56c1-9f95-b6a4d49e3fd9,Sending,NULL,PER_DAY,1
175e7fb4-0b2d-58d0-9509-0e38d5cc1b76,Detect Magic,NULL,AT_WILL,NULL
175e7fb4-0b2d-58d0-9509-0e38d5cc1b76,Invisibility,NULL,AT_WILL,NULL
175e7fb4-0b2d-58d0-9509-0e38d5cc1b76,Mage Hand,NULL,AT_WILL,NULL
175e7fb4-0b2d-58d0-9509-0e38d5cc1b76,Shatter,3,AT_WILL,NULL
175e7fb4-0b2d-58d0-9509-0e38d5cc1b76,Scrying,NULL,PER_DAY,1
175e7fb4-0b2d-58d0-9509-0e38d5cc1b76,Sending,NULL,PER_DAY,1
0a0ac3d8-b993-56f8-bacc-4fd12b3ebd82,Detect Magic,NULL,AT_WILL,NULL
0a0ac3d8-b993-56f8-bacc-4fd12b3ebd82,Minor Illusion,NULL,AT_WILL,NULL
0a0ac3d8-b993-56f8-bacc-4fd12b3ebd82,Scorching Ray,NULL,AT_WILL,NULL
0a0ac3d8-b993-56f8-bacc-4fd12b3ebd82,Shapechange,NULL,AT_WILL,NULL
