stat_block_id,ability,bonus
3a97722b-d731-5b16-8d48-45517a5a853b,CONSTITUTION,6
3a97722b-d731-5b16-8d48-45517a5a853b,DEXTERITY,3
3a97722b-d731-5b16-8d48-45517a5a853b,INTELLIGENCE,8
3a97722b-d731-5b16-8d48-45517a5a853b,WISDOM,6
00be073f-399c-53ec-b755-86bd872fab90,DEXTERITY,4
b9f0f10b-2ba9-5c77-97f0-f5ef4820930b,DEXTERITY,7
b9f0f10b-2ba9-5c77-97f0-f5ef4820930b,INTELLIGENCE,6
2723c0a7-abe7-5dab-bf94-e15c6d618c94,CONSTITUTION,4
dc1e420c-2ae8-50f4-8632-36e3594b028c,CONSTITUTION,12
dc1e420c-2ae8-50f4-8632-36e3594b028c,WISDOM,9
2048dc5f-85e3-5c28-8fd2-92fbd80710ea,DEXTERITY,5
2048dc5f-85e3-5c28-8fd2-92fbd80710ea,STRENGTH,4
2048dc5f-85e3-5c28-8fd2-92fbd80710ea,WISDOM,2
9c07ced8-070d-550e-95b8-e88ef5c281a2,CHARISMA,5
9c07ced8-070d-550e-95b8-e88ef5c281a2,CONSTITUTION,7
9c07ced8-070d-550e-95b8-e88ef5c281a2,STRENGTH,6
9c07ced8-070d-550e-95b8-e88ef5c281a2,WISDOM,5
fd78f130-1479-58d2-be72-d39c70317061,CHARISMA,4
fd78f130-1479-58d2-be72-d39c70317061,CONSTITUTION,4
fd78f130-1479-58d2-be72-d39c70317061,STRENGTH,5
eb2ea78b-f92d-5b9e-ac8b-44a45da749ef,DEXTERITY,4
eb2ea78b-f92d-5b9e-ac8b-44a45da749ef,WISDOM,2
f9283f1b-1e59-5722-9f4b-5eec409900ff,DEXTERITY,5
f9283f1b-1e59-5722-9f4b-5eec409900ff,WISDOM,3
4c42bba9-e53c-5166-88aa-f2bcae6099c3,DEXTERITY,7
4c42bba9-e53c-5166-88aa-f2bcae6099c3,WISDOM,6
d105defc-70be-5c46-bb92-261210cb9017,DEXTERITY,9
d105defc-70be-5c46-bb92-261210cb9017,WISDOM,9
3252b304-f866-565f-8589-bc91ad630818,DEXTERITY,2
