stat_block_id,sense_type,range_feet
3a97722b-d731-5b16-8d48-45517a5a853b,DARKVISION,120
02d56165-918f-5708-89af-3df7569c4f7f,DARKVISION,60
49a0bd4b-a9f9-50b2-9bc3-629df64418ea,BLINDSIGHT,60
00be073f-399c-53ec-b755-86bd872fab90,BLINDSIGHT,60
a088256d-750f-5976-a8d0-29afc20ed1ae,BLINDSIGHT,60
a3c0f2aa-e536-5f85-b152-49e28effcd22,DARKVISION,60
a3c0f2aa-e536-5f85-b152-49e28effcd22,TREMORSENSE,60
dc1e420c-2ae8-50f4-8632-36e3594b028c,TRUESIGHT,120
9c07ced8-070d-550e-95b8-e88ef5c281a2,DARKVISION,120
e50d02ac-c53c-5c91-afc5-2fc73ebbaa43,DARKVISION,60
fd78f130-1479-58d2-be72-d39c70317061,DARKVISION,120
5c8dc5ce-2b6d-55b9-86d3-bf6d728aba72,DARKVISION,90
eb2ea78b-f92d-5b9e-ac8b-44a45da749ef,BLINDSIGHT,10
eb2ea78b-f92d-5b9e-ac8b-44a45da749ef,DARKVISION,60
f9283f1b-1e59-5722-9f4b-5eec409900ff,BLINDSIGHT,30
f9283f1b-1e59-5722-9f4b-5eec409900ff,DARKVISION,120
4c42bba9-e53c-5166-88aa-f2bcae6099c3,BLINDSIGHT,60
4c42bba9-e53c-5166-88aa-f2bcae6099c3,DARKVISION,120
d105defc-70be-5c46-bb92-261210cb9017,BLINDSIGHT,60
d105defc-70be-5c46-bb92-261210cb9017,DARKVISION,120
fee468d5-1dea-5c29-ae19-29f2c0a7eea2,BLINDSIGHT,60
e5f4102e-d8b6-511b-88a6-722798cd9699,DARKVISION,60
3252b304-f866-565f-8589-bc91ad630818,BLINDSIGHT,10
3252b304-f866-565f-8589-bc91ad630818,DARKVISION,60
28ca8680-d046-521a-8cfe-e08f36ec9784,BLINDSIGHT,30
28ca8680-d046-521a-8cfe-e08f36ec9784,DARKVISION,120
ad6bc2d8-cb47-56c1-9f95-b6a4d49e3fd9,BLINDSIGHT,60
ad6bc2d8-cb47-56c1-9f95-b6a4d49e3fd9,DARKVISION,120
175e7fb4-0b2d-58d0-9509-0e38d5cc1b76,BLINDSIGHT,60
175e7fb4-0b2d-58d0-9509-0e38d5cc1b76,DARKVISION,120
0e85d74b-3cc9-528e-8346-0c50e2fa890a,DARKVISION,120
53eecd33-b723-5698-aad8-be4f5769dfff,BLINDSIGHT,10
53eecd33-b723-5698-aad8-be4f5769dfff,DARKVISION,60
4861d128-a31a-5af4-a8cf-186ba15cdbe7,BLINDSIGHT,30
4861d128-a31a-5af4-a8cf-186ba15cdbe7,DARKVISION,120
0a0ac3d8-b993-56f8-bacc-4fd12b3ebd82,BLINDSIGHT,60
0a0ac3d8-b993-56f8-bacc-4fd12b3ebd82,DARKVISION,120
a79b4f29-217a-560d-b531-c4e3a1e90688,BLINDSIGHT,60
a79b4f29-217a-560d-b531-c4e3a1e90688,DARKVISION,120
1810cc58-9406-5d1c-b03a-45846d94f7d6,BLINDSIGHT,10
1810cc58-9406-5d1c-b03a-45846d94f7d6,DARKVISION,60
f8a6fde2-0db9-5a03-9908-cafbe72ef9bf,BLINDSIGHT,30
f8a6fde2-0db9-5a03-9908-cafbe72ef9bf,DARKVISION,120
