shape_option_id,movement_type,speed_feet
ea14998e-dd62-5d60-98e2-6049c810b302,WALK,20
dcc379a0-42ef-5298-a97b-bdca258b8276,FLY,60
dcc379a0-42ef-5298-a97b-bdca258b8276,WALK,20
bbe56f67-f282-5530-b98e-27ae76c6e846,CLIMB,20
bbe56f67-f282-5530-b98e-27ae76c6e846,WALK,20
ce1ec341-0c6d-5b03-88c1-abade5b4f721,FLY,40
ce1ec341-0c6d-5b03-88c1-abade5b4f721,WALK,10
14743e0e-3e47-5065-a3b8-82ab304e5456,CLIMB,40
14743e0e-3e47-5065-a3b8-82ab304e5456,WALK,40
e17d4c90-515c-50d8-82c3-4478c09d3861,SWIM,40
e17d4c90-515c-50d8-82c3-4478c09d3861,WALK,40
55564a1b-a3d6-5873-8179-7e386f6f6da0,FLY,30
55564a1b-a3d6-5873-8179-7e386f6f6da0,WALK,5
ad961046-1bae-59c4-9cbd-9da563b1c138,FLY,20
ad961046-1bae-59c4-9cbd-9da563b1c138,WALK,5
