stat_block_id,skill,bonus
3a97722b-d731-5b16-8d48-45517a5a853b,HISTORY,12
3a97722b-d731-5b16-8d48-45517a5a853b,PERCEPTION,10
b9f0f10b-2ba9-5c77-97f0-f5ef4820930b,ACROBATICS,7
b9f0f10b-2ba9-5c77-97f0-f5ef4820930b,PERCEPTION,6
b9f0f10b-2ba9-5c77-97f0-f5ef4820930b,STEALTH,10
dc1e420c-2ae8-50f4-8632-36e3594b028c,PERCEPTION,9
2048dc5f-85e3-5c28-8fd2-92fbd80710ea,ATHLETICS,4
2048dc5f-85e3-5c28-8fd2-92fbd80710ea,DECEPTION,4
9c07ced8-070d-550e-95b8-e88ef5c281a2,DECEPTION,5
9c07ced8-070d-550e-95b8-e88ef5c281a2,INSIGHT,5
9c07ced8-070d-550e-95b8-e88ef5c281a2,PERCEPTION,8
5c8dc5ce-2b6d-55b9-86d3-bf6d728aba72,PERCEPTION,6
5c8dc5ce-2b6d-55b9-86d3-bf6d728aba72,STEALTH,7
eb2ea78b-f92d-5b9e-ac8b-44a45da749ef,PERCEPTION,4
eb2ea78b-f92d-5b9e-ac8b-44a45da749ef,STEALTH,4
f9283f1b-1e59-5722-9f4b-5eec409900ff,PERCEPTION,6
f9283f1b-1e59-5722-9f4b-5eec409900ff,STEALTH,5
4c42bba9-e53c-5166-88aa-f2bcae6099c3,PERCEPTION,11
4c42bba9-e53c-5166-88aa-f2bcae6099c3,STEALTH,7
d105defc-70be-5c46-bb92-261210cb9017,PERCEPTION,16
d105defc-70be-5c46-bb92-261210cb9017,STEALTH,9
e5f4102e-d8b6-511b-88a6-722798cd9699,PERCEPTION,5
e5f4102e-d8b6-511b-88a6-722798cd9699,STEALTH,5
3252b304-f866-565f-8589-bc91ad630818,PERCEPTION,4
3252b304-f866-565f-8589-bc91ad630818,STEALTH,2
28ca8680-d046-521a-8cfe-e08f36ec9784,PERCEPTION,9
28ca8680-d046-521a-8cfe-e08f36ec9784,STEALTH,4
ad6bc2d8-cb47-56c1-9f95-b6a4d49e3fd9,PERCEPTION,12
ad6bc2d8-cb47-56c1-9f95-b6a4d49e3fd9,STEALTH,5
175e7fb4-0b2d-58d0-9509-0e38d5cc1b76,PERCEPTION,17
175e7fb4-0b2d-58d0-9509-0e38d5cc1b76,STEALTH,7
0e85d74b-3cc9-528e-8346-0c50e2fa890a,DECEPTION,7
0e85d74b-3cc9-528e-8346-0c50e2fa890a,INSIGHT,6
53eecd33-b723-5698-aad8-be4f5769dfff,PERCEPTION,4
53eecd33-b723-5698-aad8-be4f5769dfff,STEALTH,2
4861d128-a31a-5af4-a8cf-186ba15cdbe7,PERCEPTION,6
4861d128-a31a-5af4-a8cf-186ba15cdbe7,PERSUASION,5
4861d128-a31a-5af4-a8cf-186ba15cdbe7,STEALTH,3
0a0ac3d8-b993-56f8-bacc-4fd12b3ebd82,HISTORY,7
0a0ac3d8-b993-56f8-bacc-4fd12b3ebd82,PERCEPTION,11
0a0ac3d8-b993-56f8-bacc-4fd12b3ebd82,PERSUASION,8
0a0ac3d8-b993-56f8-bacc-4fd12b3ebd82,STEALTH,5
a79b4f29-217a-560d-b531-c4e3a1e90688,HISTORY,9
a79b4f29-217a-560d-b531-c4e3a1e90688,PERCEPTION,14
a79b4f29-217a-560d-b531-c4e3a1e90688,PERSUASION,12
a79b4f29-217a-560d-b531-c4e3a1e90688,STEALTH,6
1810cc58-9406-5d1c-b03a-45846d94f7d6,PERCEPTION,4
1810cc58-9406-5d1c-b03a-45846d94f7d6,STEALTH,2
f8a6fde2-0db9-5a03-9908-cafbe72ef9bf,INSIGHT,4
f8a6fde2-0db9-5a03-9908-cafbe72ef9bf,PERCEPTION,7
f8a6fde2-0db9-5a03-9908-cafbe72ef9bf,STEALTH,3
4a686859-4851-5d47-b3ea-d5303adfac70,INSIGHT,7
4a686859-4851-5d47-b3ea-d5303adfac70,PERCEPTION,12
