stat_block_id,movement_type,speed_feet
3a97722b-d731-5b16-8d48-45517a5a853b,SWIM,40
3a97722b-d731-5b16-8d48-45517a5a853b,WALK,10
02d56165-918f-5708-89af-3df7569c4f7f,FLY,90
02d56165-918f-5708-89af-3df7569c4f7f,WALK,10
49a0bd4b-a9f9-50b2-9bc3-629df64418ea,WALK,25
00be073f-399c-53ec-b755-86bd872fab90,FLY,50
00be073f-399c-53ec-b755-86bd872fab90,WALK,5
a088256d-750f-5976-a8d0-29afc20ed1ae,WALK,10
a3c0f2aa-e536-5f85-b152-49e28effcd22,BURROW,10
a3c0f2aa-e536-5f85-b152-49e28effcd22,WALK,30
b9f0f10b-2ba9-5c77-97f0-f5ef4820930b,WALK,30
ead25cde-1a8d-5b07-8653-b98adfa2622c,WALK,20
584358af-5ad8-5f80-9d4c-7d4782a3c9ef,WALK,20
30bb8dc4-bfa7-5a91-b0b7-3bf6eeabe7e3,WALK,50
2723c0a7-abe7-5dab-bf94-e15c6d618c94,WALK,30
dc1e420c-2ae8-50f4-8632-36e3594b028c,FLY,80
dc1e420c-2ae8-50f4-8632-36e3594b028c,WALK,40
65fca663-1259-5ad7-b71b-4268a89c1de8,WALK,30
2048dc5f-85e3-5c28-8fd2-92fbd80710ea,WALK,30
9c07ced8-070d-550e-95b8-e88ef5c281a2,CLIMB,30
9c07ced8-070d-550e-95b8-e88ef5c281a2,WALK,30
e50d02ac-c53c-5c91-afc5-2fc73ebbaa43,WALK,20
fd78f130-1479-58d2-be72-d39c70317061,WALK,30
5c8dc5ce-2b6d-55b9-86d3-bf6d728aba72,CLIMB,50
5c8dc5ce-2b6d-55b9-86d3-bf6d728aba72,WALK,50
92238e35-a2f2-5362-8349-b6235f1b7942,WALK,30
eb2ea78b-f92d-5b9e-ac8b-44a45da749ef,FLY,60
eb2ea78b-f92d-5b9e-ac8b-44a45da749ef,SWIM,30
eb2ea78b-f92d-5b9e-ac8b-44a45da749ef,WALK,30
f9283f1b-1e59-5722-9f4b-5eec409900ff,FLY,80
f9283f1b-1e59-5722-9f4b-5eec409900ff,SWIM,40
f9283f1b-1e59-5722-9f4b-5eec409900ff,WALK,40
4c42bba9-e53c-5166-88aa-f2bcae6099c3,FLY,80
4c42bba9-e53c-5166-88aa-f2bcae6099c3,SWIM,40
4c42bba9-e53c-5166-88aa-f2bcae6099c3,WALK,40
d105defc-70be-5c46-bb92-261210cb9017,FLY,80
d105defc-70be-5c46-bb92-261210cb9017,SWIM,40
d105defc-70be-5c46-bb92-261210cb9017,WALK,40
fee468d5-1dea-5c29-ae19-29f2c0a7eea2,CLIMB,20
fee468d5-1dea-5c29-ae19-29f2c0a7eea2,WALK,20
e5f4102e-d8b6-511b-88a6-722798cd9699,WALK,40
3252b304-f866-565f-8589-bc91ad630818,BURROW,15
3252b304-f866-565f-8589-bc91ad630818,FLY,60
3252b304-f866-565f-8589-bc91ad630818,WALK,30
28ca8680-d046-521a-8cfe-e08f36ec9784,BURROW,20
28ca8680-d046-521a-8cfe-e08f36ec9784,FLY,80
28ca8680-d046-521a-8cfe-e08f36ec9784,WALK,40
ad6bc2d8-cb47-56c1-9f95-b6a4d49e3fd9,BURROW,30
ad6bc2d8-cb47-56c1-9f95-b6a4d49e3fd9,FLY,80
ad6bc2d8-cb47-56c1-9f95-b6a4d49e3fd9,WALK,40
175e7fb4-0b2d-58d0-9509-0e38d5cc1b76,BURROW,40
175e7fb4-0b2d-58d0-9509-0e38d5cc1b76,FLY,80
175e7fb4-0b2d-58d0-9509-0e38d5cc1b76,WALK,40
0e85d74b-3cc9-528e-8346-0c50e2fa890a,FLY,40
0e85d74b-3cc9-528e-8346-0c50e2fa890a,WALK,40
53eecd33-b723-5698-aad8-be4f5769dfff,BURROW,15
53eecd33-b723-5698-aad8-be4f5769dfff,FLY,60
53eecd33-b723-5698-aad8-be4f5769dfff,WALK,30
4861d128-a31a-5af4-a8cf-186ba15cdbe7,BURROW,20
4861d128-a31a-5af4-a8cf-186ba15cdbe7,FLY,80
4861d128-a31a-5af4-a8cf-186ba15cdbe7,WALK,40
0a0ac3d8-b993-56f8-bacc-4fd12b3ebd82,BURROW,30
0a0ac3d8-b993-56f8-bacc-4fd12b3ebd82,FLY,80
0a0ac3d8-b993-56f8-bacc-4fd12b3ebd82,WALK,40
a79b4f29-217a-560d-b531-c4e3a1e90688,BURROW,40
a79b4f29-217a-560d-b531-c4e3a1e90688,FLY,80
a79b4f29-217a-560d-b531-c4e3a1e90688,WALK,40
1810cc58-9406-5d1c-b03a-45846d94f7d6,FLY,60
1810cc58-9406-5d1c-b03a-45846d94f7d6,SWIM,30
1810cc58-9406-5d1c-b03a-45846d94f7d6,WALK,30
f8a6fde2-0db9-5a03-9908-cafbe72ef9bf,FLY,80
f8a6fde2-0db9-5a03-9908-cafbe72ef9bf,SWIM,40
f8a6fde2-0db9-5a03-9908-cafbe72ef9bf,WALK,40
4a686859-4851-5d47-b3ea-d5303adfac70,FLY,80
4a686859-4851-5d47-b3ea-d5303adfac70,SWIM,40
4a686859-4851-5d47-b3ea-d5303adfac70,WALK,40
feb2e64e-a0be-5b77-b650-900315f7fbb2,FLY,80
feb2e64e-a0be-5b77-b650-900315f7fbb2,SWIM,40
feb2e64e-a0be-5b77-b650-900315f7fbb2,WALK,40
707a2111-17f9-5510-8d72-0638f947ccb1,WALK,30
1f4940b4-7f8a-52de-8c9f-ca62bb7a26bb,WALK,30
61a8a166-336a-5981-9e69-b22289abc5f6,BURROW,40
61a8a166-336a-5981-9e69-b22289abc5f6,WALK,40
0068719a-5a5d-5df4-a8e5-55b712c71e7f,WALK,50
9d0f45d2-353c-55d6-b25a-ecf41a13a35e,WALK,30
b7798ab4-ff0f-597c-8f42-24ff5148156d,FLY,60
b7798ab4-ff0f-597c-8f42-24ff5148156d,WALK,30
f8687241-5230-57e7-8cc5-96a1769ed7eb,SWIM,30
f8687241-5230-57e7-8cc5-96a1769ed7eb,WALK,30
30ddc18c-251c-5334-99e2-7b0e692d8a05,WALK,30
be712961-00e4-5fdc-b3d9-7ce4b3ef3839,FLY,40
be712961-00e4-5fdc-b3d9-7ce4b3ef3839,WALK,10
28133e24-4663-51d1-9e69-22efd9a246dd,FLY,20
28133e24-4663-51d1-9e69-22efd9a246dd,WALK,40
