id,created_at,updated_at,version,size,creature_type,creature_subtype,alignment,armor_class,initiative_bonus,hp_average,hp_dice_count,hp_dice_faces,hp_dice_bonus,can_hover,score_strength,score_dexterity,score_constitution,score_intelligence,score_wisdom,score_charisma,passive_perception,languages,telepathy_feet,challenge_rating,experience_points,proficiency_bonus,legendary_action_uses,spellcasting_ability,spell_save_dc,spell_attack_bonus
3a97722b-d731-5b16-8d48-45517a5a853b,2026-09-08T00:00:00,2026-09-08T00:00:00,0,LARGE,ABERRATION,NULL,LAWFUL_EVIL,17,7,150,20,10,40,false,21,9,15,18,15,18,20,Deep Speech; telepathy 120 ft.,120,10.0,5900,4,3,NULL,NULL,NULL
02d56165-918f-5708-89af-3df7569c4f7f,2026-09-08T00:00:00,2026-09-08T00:00:00,0,LARGE,ELEMENTAL,NULL,NEUTRAL,15,5,90,12,10,24,true,14,20,14,6,10,6,10,Primordial (Auran),NULL,5.0,1800,3,NULL,NULL,NULL,NULL
49a0bd4b-a9f9-50b2-9bc3-629df64418ea,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,CONSTRUCT,NULL,UNALIGNED,18,2,33,6,8,6,false,14,11,13,1,3,1,6,None,NULL,1.0,200,2,NULL,NULL,NULL,NULL
00be073f-399c-53ec-b755-86bd872fab90,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SMALL,CONSTRUCT,NULL,UNALIGNED,17,4,14,4,6,NULL,true,12,15,11,1,5,1,7,None,NULL,0.25,50,2,NULL,NULL,NULL,NULL
a088256d-750f-5976-a8d0-29afc20ed1ae,2026-09-08T00:00:00,2026-09-08T00:00:00,0,LARGE,CONSTRUCT,NULL,UNALIGNED,12,4,27,5,10,NULL,false,17,14,10,1,3,1,6,None,NULL,2.0,450,2,NULL,NULL,NULL,NULL
a3c0f2aa-e536-5f85-b152-49e28effcd22,2026-09-08T00:00:00,2026-09-08T00:00:00,0,LARGE,MONSTROSITY,NULL,UNALIGNED,14,0,45,6,10,12,false,17,11,14,1,13,6,11,None,NULL,2.0,450,2,NULL,NULL,NULL,NULL
b9f0f10b-2ba9-5c77-97f0-f5ef4820930b,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,HUMANOID,NULL,NEUTRAL,16,10,97,15,8,30,false,11,18,14,16,11,10,16,"Common, Thieves' Cant",NULL,8.0,3900,3,NULL,NULL,NULL,NULL
ead25cde-1a8d-5b07-8653-b98adfa2622c,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SMALL,PLANT,NULL,NEUTRAL,9,-1,10,3,6,NULL,false,3,8,11,10,10,6,10,Common plus one other language,NULL,0.0,10,2,NULL,NULL,NULL,NULL
584358af-5ad8-5f80-9d4c-7d4782a3c9ef,2026-09-08T00:00:00,2026-09-08T00:00:00,0,HUGE,PLANT,NULL,NEUTRAL,13,-2,59,7,12,14,false,19,6,15,10,10,7,10,Common plus one other language,NULL,2.0,450,2,NULL,NULL,NULL,NULL
30bb8dc4-bfa7-5a91-b0b7-3bf6eeabe7e3,2026-09-08T00:00:00,2026-09-08T00:00:00,0,LARGE,MONSTROSITY,NULL,UNALIGNED,11,1,19,3,10,3,false,14,12,12,2,10,5,10,None,NULL,0.25,50,2,NULL,NULL,NULL,NULL
2723c0a7-abe7-5dab-bf94-e15c6d618c94,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,ELEMENTAL,NULL,LAWFUL_NEUTRAL,17,1,39,6,8,12,false,17,12,15,12,13,10,11,Primordial (Ignan),NULL,2.0,450,2,NULL,NULL,NULL,NULL
dc1e420c-2ae8-50f4-8632-36e3594b028c,2026-09-08T00:00:00,2026-09-08T00:00:00,0,HUGE,FIEND,Demon,CHAOTIC_EVIL,19,14,287,23,12,138,false,26,15,22,20,16,22,19,Abyssal; telepathy 120 ft.,120,19.0,22000,6,NULL,NULL,NULL,NULL
65fca663-1259-5ad7-b71b-4268a89c1de8,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,HUMANOID,NULL,NEUTRAL,12,1,11,2,8,2,false,11,12,12,10,10,10,10,"Common, Thieves' Cant",NULL,0.125,25,2,NULL,NULL,NULL,NULL
2048dc5f-85e3-5c28-8fd2-92fbd80710ea,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,HUMANOID,NULL,NEUTRAL,15,3,52,8,8,16,false,15,16,14,14,11,14,10,"Common, Thieves' Cant",NULL,2.0,450,2,NULL,NULL,NULL,NULL
9c07ced8-070d-550e-95b8-e88ef5c281a2,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,FIEND,Devil,LAWFUL_EVIL,15,3,110,13,8,52,false,16,17,18,12,14,14,18,Infernal; telepathy 120 ft.,120,5.0,1800,3,NULL,NULL,NULL,NULL
e50d02ac-c53c-5c91-afc5-2fc73ebbaa43,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,MONSTROSITY,NULL,UNALIGNED,15,-1,52,8,8,16,false,16,8,15,2,8,7,9,None,NULL,3.0,700,2,NULL,NULL,NULL,NULL
fd78f130-1479-58d2-be72-d39c70317061,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,FIEND,Devil,LAWFUL_EVIL,13,2,58,9,8,18,false,16,15,15,9,11,14,10,Infernal; telepathy 120 ft.,120,3.0,700,2,NULL,NULL,NULL,NULL
5c8dc5ce-2b6d-55b9-86d3-bf6d728aba72,2026-09-08T00:00:00,2026-09-08T00:00:00,0,HUGE,MONSTROSITY,NULL,NEUTRAL_EVIL,17,3,168,16,12,64,false,23,16,18,7,14,12,16,Draconic,NULL,11.0,7200,4,NULL,NULL,NULL,NULL
92238e35-a2f2-5362-8349-b6235f1b7942,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,HUMANOID,NULL,NEUTRAL,13,1,67,9,8,27,false,16,12,17,9,11,9,10,Common,NULL,2.0,450,2,NULL,NULL,NULL,NULL
eb2ea78b-f92d-5b9e-ac8b-44a45da749ef,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,DRAGON,Chromatic,CHAOTIC_EVIL,17,4,33,6,8,6,false,15,14,13,10,11,13,14,Draconic,NULL,2.0,450,2,NULL,NULL,NULL,NULL
f9283f1b-1e59-5722-9f4b-5eec409900ff,2026-09-08T00:00:00,2026-09-08T00:00:00,0,LARGE,DRAGON,Chromatic,CHAOTIC_EVIL,18,5,127,15,10,45,false,19,14,17,12,11,15,16,"Common, Draconic",NULL,7.0,2900,3,NULL,NULL,NULL,NULL
4c42bba9-e53c-5166-88aa-f2bcae6099c3,2026-09-08T00:00:00,2026-09-08T00:00:00,0,HUGE,DRAGON,Chromatic,CHAOTIC_EVIL,19,12,195,17,12,85,false,23,14,21,14,13,19,21,"Common, Draconic",NULL,14.0,11500,5,3,CHARISMA,17,9
d105defc-70be-5c46-bb92-261210cb9017,2026-09-08T00:00:00,2026-09-08T00:00:00,0,GARGANTUAN,DRAGON,Chromatic,CHAOTIC_EVIL,22,16,367,21,20,147,false,27,14,25,16,15,22,26,"Common, Draconic",NULL,21.0,33000,7,3,CHARISMA,21,13
fee468d5-1dea-5c29-ae19-29f2c0a7eea2,2026-09-08T00:00:00,2026-09-08T00:00:00,0,LARGE,OOZE,NULL,UNALIGNED,7,-3,68,8,10,24,false,16,5,16,1,6,1,8,None,NULL,4.0,1100,2,NULL,NULL,NULL,NULL
e5f4102e-d8b6-511b-88a6-722798cd9699,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,FEY,NULL,LAWFUL_GOOD,13,3,22,4,8,4,false,12,17,12,10,13,11,15,Blink Dog; understands Elvish and Sylvan but can't speak them,NULL,0.25,50,2,NULL,NULL,NULL,NULL
3252b304-f866-565f-8589-bc91ad630818,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,DRAGON,Chromatic,LAWFUL_EVIL,17,2,65,10,8,20,false,17,10,15,12,11,15,14,Draconic,NULL,3.0,700,2,NULL,NULL,NULL,NULL
28ca8680-d046-521a-8cfe-e08f36ec9784,2026-09-08T00:00:00,2026-09-08T00:00:00,0,LARGE,DRAGON,Chromatic,LAWFUL_EVIL,18,4,152,16,10,64,false,21,10,19,14,13,17,19,"Common, Draconic",NULL,9.0,5000,4,NULL,NULL,NULL,NULL
ad6bc2d8-cb47-56c1-9f95-b6a4d49e3fd9,2026-09-08T00:00:00,2026-09-08T00:00:00,0,HUGE,DRAGON,Chromatic,LAWFUL_EVIL,19,10,212,17,12,102,false,25,10,23,16,15,20,22,"Common, Draconic",NULL,16.0,15000,5,3,CHARISMA,18,NULL
175e7fb4-0b2d-58d0-9509-0e38d5cc1b76,2026-09-08T00:00:00,2026-09-08T00:00:00,0,GARGANTUAN,DRAGON,Chromatic,LAWFUL_EVIL,22,14,481,26,20,208,false,29,10,27,18,17,25,27,"Common, Draconic",NULL,23.0,50000,7,3,CHARISMA,22,NULL
0e85d74b-3cc9-528e-8346-0c50e2fa890a,2026-09-08T00:00:00,2026-09-08T00:00:00,0,LARGE,FIEND,Devil,LAWFUL_EVIL,16,7,161,17,10,68,false,18,16,18,13,14,16,12,Infernal; telepathy 120 ft.,120,9.0,5000,4,NULL,NULL,NULL,NULL
53eecd33-b723-5698-aad8-be4f5769dfff,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,DRAGON,Metallic,CHAOTIC_GOOD,15,2,22,4,8,4,false,15,10,13,10,11,13,14,Draconic,NULL,1.0,200,2,NULL,NULL,NULL,NULL
4861d128-a31a-5af4-a8cf-186ba15cdbe7,2026-09-08T00:00:00,2026-09-08T00:00:00,0,LARGE,DRAGON,Metallic,CHAOTIC_GOOD,17,3,110,13,10,39,false,19,10,17,12,11,15,16,"Common, Draconic",NULL,6.0,2300,3,NULL,NULL,NULL,NULL
0a0ac3d8-b993-56f8-bacc-4fd12b3ebd82,2026-09-08T00:00:00,2026-09-08T00:00:00,0,HUGE,DRAGON,Metallic,CHAOTIC_GOOD,18,10,172,15,12,75,false,23,10,21,14,13,17,21,"Common, Draconic",NULL,13.0,10000,5,3,CHARISMA,16,NULL
a79b4f29-217a-560d-b531-c4e3a1e90688,2026-09-08T00:00:00,2026-09-08T00:00:00,0,GARGANTUAN,DRAGON,Metallic,CHAOTIC_GOOD,20,12,332,19,20,133,false,27,10,25,16,15,22,24,"Common, Draconic",NULL,20.0,25000,6,3,CHARISMA,20,NULL
1810cc58-9406-5d1c-b03a-45846d94f7d6,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,DRAGON,Metallic,LAWFUL_GOOD,15,2,39,6,8,12,false,17,10,15,12,11,15,14,Draconic,NULL,2.0,450,2,NULL,NULL,NULL,NULL
f8a6fde2-0db9-5a03-9908-cafbe72ef9bf,2026-09-08T00:00:00,2026-09-08T00:00:00,0,LARGE,DRAGON,Metallic,LAWFUL_GOOD,17,3,142,15,10,60,false,21,10,19,14,13,17,17,"Common, Draconic",NULL,8.0,3900,3,NULL,NULL,NULL,NULL
4a686859-4851-5d47-b3ea-d5303adfac70,2026-09-08T00:00:00,2026-09-08T00:00:00,0,HUGE,DRAGON,Metallic,LAWFUL_GOOD,18,10,212,17,12,102,false,25,10,23,16,15,20,22,"Common, Draconic",NULL,15.0,13000,5,3,CHARISMA,17,10
feb2e64e-a0be-5b77-b650-900315f7fbb2,2026-09-08T00:00:00,2026-09-08T00:00:00,0,GARGANTUAN,DRAGON,Metallic,LAWFUL_GOOD,22,14,444,24,20,192,false,29,10,27,18,17,25,27,"Common, Draconic",NULL,22.0,41000,7,3,CHARISMA,22,14
707a2111-17f9-5510-8d72-0638f947ccb1,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,FEY,Goblinoid,CHAOTIC_EVIL,15,2,65,10,8,20,false,17,14,14,11,12,11,11,"Common, Goblin",NULL,3.0,700,2,NULL,NULL,NULL,NULL
1f4940b4-7f8a-52de-8c9f-ca62bb7a26bb,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,FEY,Goblinoid,CHAOTIC_EVIL,14,2,33,6,8,6,false,15,14,13,8,11,9,10,"Common, Goblin",NULL,1.0,200,2,NULL,NULL,NULL,NULL
61a8a166-336a-5981-9e69-b22289abc5f6,2026-09-08T00:00:00,2026-09-08T00:00:00,0,LARGE,MONSTROSITY,NULL,UNALIGNED,17,0,94,9,10,45,false,19,11,21,2,10,5,16,None,NULL,5.0,1800,3,NULL,NULL,NULL,NULL
0068719a-5a5d-5df4-a8e5-55b712c71e7f,2026-09-08T00:00:00,2026-09-08T00:00:00,0,LARGE,FEY,NULL,NEUTRAL_GOOD,16,2,45,6,10,12,false,18,14,14,9,13,11,13,"Elvish, Sylvan",NULL,2.0,450,2,NULL,NULL,NULL,NULL
9d0f45d2-353c-55d6-b25a-ecf41a13a35e,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,FIEND,Devil,LAWFUL_EVIL,15,5,85,10,8,40,false,18,15,18,11,12,14,11,Infernal; telepathy 120 ft.,120,8.0,3900,3,NULL,NULL,NULL,NULL
b7798ab4-ff0f-597c-8f42-24ff5148156d,2026-09-08T00:00:00,2026-09-08T00:00:00,0,LARGE,MONSTROSITY,NULL,CHAOTIC_EVIL,14,0,114,12,10,48,false,19,11,19,3,14,10,18,Understands Draconic but can't speak,NULL,6.0,2300,3,NULL,NULL,NULL,NULL
f8687241-5230-57e7-8cc5-96a1769ed7eb,2026-09-08T00:00:00,2026-09-08T00:00:00,0,LARGE,ABERRATION,NULL,CHAOTIC_EVIL,16,0,76,9,10,27,false,19,10,16,5,11,5,14,Understands Deep Speech but can't speak,NULL,4.0,1100,2,NULL,NULL,NULL,NULL
30ddc18c-251c-5334-99e2-7b0e692d8a05,2026-09-08T00:00:00,2026-09-08T00:00:00,0,LARGE,CONSTRUCT,NULL,UNALIGNED,14,3,123,13,10,52,false,20,9,18,3,8,1,9,Common plus one other language,NULL,9.0,5000,4,NULL,NULL,NULL,NULL
be712961-00e4-5fdc-b3d9-7ce4b3ef3839,2026-09-08T00:00:00,2026-09-08T00:00:00,0,LARGE,ABERRATION,NULL,CHAOTIC_NEUTRAL,14,5,91,14,10,14,false,17,15,12,13,14,7,12,"Deep Speech, Undercommon",NULL,8.0,3900,3,NULL,NULL,NULL,NULL
28133e24-4663-51d1-9e69-22efd9a246dd,2026-09-08T00:00:00,2026-09-08T00:00:00,0,HUGE,GIANT,NULL,NEUTRAL,14,4,200,16,12,96,true,27,10,22,12,16,16,21,"Common, Giant",NULL,9.0,5000,4,NULL,CHARISMA,15,NULL
b9eea488-d320-5cfa-b843-701d38590264,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SMALL,MONSTROSITY,NULL,UNALIGNED,11,1,22,5,6,5,false,6,12,12,2,13,5,11,None,NULL,0.5,100,2,NULL,NULL,NULL,NULL
a8fc19ef-5730-5d26-b461-c590dfdbc3b9,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,HUMANOID,NULL,NEUTRAL,10,0,4,1,8,NULL,false,10,10,10,10,10,10,10,Common,NULL,0.0,10,2,NULL,NULL,NULL,NULL
ce0387c8-3d13-50bf-a216-5174851b483d,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,DRAGON,Metallic,CHAOTIC_GOOD,16,3,22,4,8,4,false,15,12,13,14,11,13,14,Draconic,NULL,1.0,200,2,NULL,NULL,NULL,NULL
20d99010-e378-59c5-a9ca-52eb9fbd070c,2026-09-08T00:00:00,2026-09-08T00:00:00,0,LARGE,DRAGON,Metallic,CHAOTIC_GOOD,17,4,119,14,10,42,false,19,12,17,16,13,15,17,"Common, Draconic",NULL,7.0,2900,3,NULL,NULL,NULL,NULL
df40b7e6-7047-5eb9-ab7e-f8ce1c1280d5,2026-09-08T00:00:00,2026-09-08T00:00:00,0,HUGE,DRAGON,Metallic,CHAOTIC_GOOD,18,11,184,16,12,80,false,23,12,21,18,15,18,22,"Common, Draconic",NULL,14.0,11500,5,3,CHARISMA,17,NULL
33da4341-6b62-5233-9c0f-f355e2738ccc,2026-09-08T00:00:00,2026-09-08T00:00:00,0,GARGANTUAN,DRAGON,Metallic,CHAOTIC_GOOD,21,15,367,21,20,147,false,27,12,25,20,17,22,27,"Common, Draconic",NULL,21.0,33000,7,3,CHARISMA,21,NULL
75aaf7d9-8097-5f09-8c47-db10961f69cb,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,CELESTIAL,NULL,LAWFUL_GOOD,19,5,60,8,8,24,false,16,20,17,18,20,18,15,All; telepathy 120 ft.,120,4.0,1100,2,NULL,WISDOM,15,NULL
68a5204b-c403-538a-9ad4-12ac83ff69dc,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,UNDEAD,Swarm of Tiny Undead,NEUTRAL_EVIL,12,2,49,11,8,NULL,false,14,14,11,5,10,4,10,Understands Common but can't speak,NULL,3.0,700,2,NULL,NULL,NULL,NULL
cf402a02-a4aa-50e5-a064-ab051149082f,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,HUMANOID,NULL,NEUTRAL,12,1,9,2,8,NULL,false,11,12,10,10,11,10,10,Common,NULL,0.125,25,2,NULL,NULL,NULL,NULL
e4ab2238-e788-5fae-b26d-32aa80151e67,2026-09-08T00:00:00,2026-09-08T00:00:00,0,MEDIUM,HUMANOID,NULL,NEUTRAL,13,2,44,8,8,8,false,11,14,12,10,14,13,12,Common,NULL,2.0,450,2,NULL,WISDOM,12,4
